entity, label, occurrences
HPV, ORG, 258
first, ORDINAL, 74
U.S., GPE, 69
US, GPE, 47
one, CARDINAL, 41
Donald Trump, PERSON, 40
MMR, ORG, 37
this year, DATE, 33
Ireland, GPE, 33
Philippines, GPE, 32
UK, GPE, 32
Zika, PERSON, 32
Pauline Hanson, PERSON, 31
Australia, GPE, 30
Vaccine, PERSON, 30
two, CARDINAL, 30
Europe, LOC, 27
CDC, ORG, 26
three, CARDINAL, 25
Yemen, GPE, 25
Fox News, ORG, 25
The Boston Globe, ORG, 24
Italy, GPE, 24
California, GPE, 24
15, CARDINAL, 23
The Washington Post, ORG, 23
Kenya, GPE, 22
year, DATE, 22
Trump, PERSON, 22
Robert F. Kennedy Jr., PERSON, 19
Minnesota, GPE, 19
Wednesday, DATE, 19
Guardian, ORG, 18
Andrew Wakefield, PERSON, 18
Friday, DATE, 18
Tuesday, DATE, 18
Ghana, GPE, 17
ABC News, ORG, 17
Michigan, GPE, 17
Monday, DATE, 16
South Sudan, GPE, 16
thousands, CARDINAL, 16
Trump, ORG, 15
Africa, LOC, 15
Rebecca Bredow, PERSON, 15
One, CARDINAL, 15
millions, CARDINAL, 15
NHS, ORG, 15
French, NORP, 15
second, ORDINAL, 15
the World Health Organization, ORG, 15
next year, DATE, 15
Simon Harris, PERSON, 14
Australian, NORP, 14
9-year-old, DATE, 14
UN, ORG, 14
African, NORP, 14
CBS News, ORG, 13
Americans, NORP, 13
Melbourne, GPE, 13
2017, DATE, 12
The New York Times, ORG, 12
Irish, NORP, 12
Brazil, GPE, 12
Daily Mail, ORG, 12
2018, DATE, 11
Gardasil, GPE, 11
Reuters, ORG, 11
four, CARDINAL, 11
Syria, GPE, 11
hundreds, CARDINAL, 11
First, ORDINAL, 10
this winter, DATE, 10
1, CARDINAL, 10
Canadians, NORP, 10
American, NORP, 10
five, CARDINAL, 10
FDA, ORG, 10
Canada, GPE, 10
German, NORP, 10
Robert Kennedy Jr., PERSON, 10
last year, DATE, 10
season, DATE, 10
Detroit, GPE, 10
winter, DATE, 9
this week, DATE, 9
Two, CARDINAL, 9
years, DATE, 9
Congo, GPE, 9
London, GPE, 9
Sydney, GPE, 9
12, CARDINAL, 9
Robert F. Kennedy, PERSON, 9
Italian, NORP, 9
