,entity,label,occurrences
236,Egypt,GPE,14
237,Serbia,GPE,14
238,Rome,GPE,14
239,Dozens,CARDINAL,13
240,two weeks,DATE,13
241,2019,DATE,13
242,Easter,PERSON,13
243,December,DATE,13
244,Jair Bolsonaro,PERSON,13
245,week,DATE,13
246,1,CARDINAL,13
247,5 minutes,TIME,13
248,Frank Sieren,PERSON,13
249,20.08.2020,CARDINAL,13
250,Frank-Walter Steinmeier,PERSON,13
251,half,CARDINAL,13
252,Bayern Munich,ORG,13
253,Health,ORG,13
254,"1,000",CARDINAL,13
255,16.03.2021,CARDINAL,13
256,16.02.2021,DATE,13
257,Angela Merkel's,PERSON,13
258,100,CARDINAL,13
259,25.06.2020,CARDINAL,13
260,European Commission,ORG,13
261,dozens,CARDINAL,13
262,Iraq,GPE,13
263,17.03.2020,DATE,13
264,Apple,ORG,13
265,Julian Ryall,PERSON,13
266,Italians,NORP,12
267,decades,DATE,12
268,300 million,CARDINAL,12
269,Easter,ORG,12
270,14.05.2020,CARDINAL,12
271,China′s,ORG,12
272,OECD,ORG,12
273,Ukraine,GPE,12
274,Europe′s,ORG,12
275,Danish,NORP,12
276,2022,DATE,12
277,22.07.2020,CARDINAL,12
278,26.03.2020,CARDINAL,12
279,Israelis,NORP,12
280,DW Business – International | Business| Economy,ORG,12
281,18.08.2020,CARDINAL,12
282,Tuesday,DATE,12
283,12.10.2020,CARDINAL,12
284,Romania,GPE,12
285,The European Union,ORG,12
286,Singapore,GPE,12
287,Tönnies,GPE,12
288,10.07.2020,CARDINAL,12
289,Venice,GPE,12
290,NATO,ORG,12
291,10.08.2020,DATE,12
292,Oxford,ORG,12
293,WTO,ORG,12
294,Indians,NORP,11
295,24.02.2021,CARDINAL,11
296,Boeing,ORG,11
297,Tesla,ORG,11
298,ICU,ORG,11
299,Melbourne,GPE,11
300,Romanian,NORP,11
301,Bundesliga,CARDINAL,11
302,fourth,ORDINAL,11
303,5,CARDINAL,11
304,Tanzania,GPE,11
305,Ursula von,PERSON,11
306,DFL,ORG,11
307,Volkswagen,ORG,11
308,next week,DATE,11
309,Lockdowns,PERSON,11
310,Nairobi,GPE,11
311,15.04.2020,DATE,11
312,Colombia,GPE,11
313,17.06.2020,CARDINAL,11
314,Muslim,NORP,11
315,Amsterdam,GPE,11
316,31.03.2021,CARDINAL,11
317,11.01.2021,CARDINAL,11
318,16.04.2020,DATE,10
319,two months,DATE,10
320,COVID,ORG,10
321,next year,DATE,10
322,Belarus,GPE,10
323,Mediterranean,LOC,10
324,Bonn,GPE,10
325,12.08.2020,DATE,10
326,12.05.2020,CARDINAL,10
327,05.02.2021,CARDINAL,10
328,22.02.2021,CARDINAL,10
329,28.01.2021,CARDINAL,10
330,November,DATE,10
331,Luxembourg,GPE,10
332,Jacinda Ardern,PERSON,10
