,entity,label,occurrences
240,200,CARDINAL,92
241,Kate,PERSON,92
242,PUP,PRODUCT,91
243,21,CARDINAL,91
244,Aer Lingus,ORG,91
245,Seven,CARDINAL,91
246,the past 24 hours,TIME,90
247,Wales,GPE,90
248,morning,TIME,89
249,this summer,DATE,89
250,six weeks,DATE,89
251,Eight,CARDINAL,89
252,a year,DATE,88
253,Mary Lou McDonald,PERSON,88
254,Yasmeen,ORG,88
255,Amazon,ORG,88
256,Micheál Martin,PERSON,87
257,St Patrick’s Day,PERSON,87
258,22,CARDINAL,86
259,Beijing,GPE,85
260,Piers Morgan,PERSON,85
261,Coronation Street,LOC,85
262,Alan Halsall,PERSON,84
263,Geoff Metcalfe,PERSON,84
264,2,CARDINAL,84
265,Melbourne,GPE,82
266,Geoff,ORG,82
267,Jack P Shepherd,ORG,82
268,Catherine Tyldesley,PERSON,82
269,October,DATE,81
270,South Africa,GPE,81
271,1,CARDINAL,81
272,Derek Draper,PERSON,80
273,Republic,GPE,80
274,Level,ORG,79
275,St Patrick's,PERSON,78
276,the coming weeks,DATE,78
277,Love Island,LOC,78
278,hours,TIME,78
279,February,DATE,77
280,TWO,CARDINAL,77
281,The Irish Sun CORONAVIRUS,ORG,77
282,California,GPE,75
283,Pat Phelan,PERSON,74
284,26,CARDINAL,73
285,Department of Health,ORG,73
286,Brussels,GPE,73
287,two-week,DATE,73
288,Carla Connor,PERSON,73
289,Sinead Tinker,PERSON,72
290,TikTok,ORG,72
291,Ten,CARDINAL,72
292,Twitter,PRODUCT,72
293,14 days,DATE,72
294,the year,DATE,72
295,Portugal,GPE,72
296,the last 24 hours,TIME,71
297,500,CARDINAL,71
298,Helen Flanagan,PERSON,71
299,November,DATE,71
300,Gardai,NORP,70
301,recent weeks,DATE,70
302,three weeks,DATE,70
303,Hollywood,GPE,70
304,2019,DATE,70
305,Peter Barlow,PERSON,70
306,Second,ORDINAL,69
307,Philip Nolan,PERSON,69
308,Liverpool,GPE,68
309,Coronation Street,ORG,68
310,Barcelona,GPE,67
311,Texas,GPE,67
312,McDonald’s,ORG,67
313,this month,DATE,66
314,Ryan Thomas,PERSON,66
315,Micheal Martin,PERSON,66
316,UN,ORG,66
317,Munster,PERSON,65
318,the last week,DATE,65
319,Irishman,NORP,65
320,Olympics,EVENT,65
321,"10,000",CARDINAL,65
322,The Irish Sun A,ORG,64
323,40,CARDINAL,64
324,NI,ORG,64
325,36,CARDINAL,64
326,Kildare,GPE,63
327,350,MONEY,63
328,one day,DATE,63
329,Anthony Fauci,PERSON,62
330,Vaccine,PERSON,62
331,Coronavirus Ireland,GPE,62
332,Madrid,GPE,62
333,Hong Kong,GPE,62
334,Arlene Foster,PERSON,62
335,"2,000",CARDINAL,62
336,Brooke Vincent,PERSON,62
337,Russian,NORP,62
338,NI,GPE,62
339,Dutch,NORP,61
340,Leaving Cert,PERSON,61
341,Gardai,PERSON,61
342,Juventus,ORG,61
343,Matt Hancock,PERSON,60
344,Denmark,GPE,60
345,Peru,GPE,59
346,Leanne Battersby,PERSON,59
347,Martin,PERSON,59
348,Corrie,PERSON,59
349,Greece,GPE,59
350,THREE,CARDINAL,59
351,Easter,ORG,59
352,Galway,ORG,58
353,Coronation Street’s,FAC,58
354,This week,DATE,58
355,29,CARDINAL,58
356,a month,DATE,58
357,Mike Ryan,PERSON,57
358,IRFU,ORG,57
359,Sally,PERSON,57
360,Belgium,GPE,57
361,28,CARDINAL,57
362,Brazilian,NORP,57
363,Easter,PERSON,56
364,The Irish Sun CORONATION Street’s,ORG,56
365,Michelle Keegan,PERSON,56
366,Ken Barlow,PERSON,56
367,two months,DATE,56
368,9,CARDINAL,56
369,English,LANGUAGE,55
370,the World Health Organisation,ORG,55
371,Moderna,GPE,55
372,Waterford,ORG,55
373,the day,DATE,55
374,34,CARDINAL,55
375,Simon Coveney,PERSON,54
376,Berlin,GPE,54
377,60,CARDINAL,54
378,YouTube,ORG,54
379,Halloween,DATE,54
380,recent days,DATE,53
381,6,CARDINAL,53
382,Steve McDonald,PERSON,53
383,Derek,PERSON,53
384,Ireland Health,GPE,53
385,Sun IRELAND,PERSON,53
386,Sun,ORG,53
387,Michael D Higgins,PERSON,53
388,Zoom,PERSON,52
389,Mexico,GPE,51
390,dozens,CARDINAL,51
391,Dominic Cummings,ORG,51
392,Central Bank,ORG,51
393,Dr Ronan Glynn,PERSON,51
394,the past week,DATE,51
395,Tokyo,GPE,51
396,Michelle Connor,PERSON,51
397,Gary,PERSON,51
398,Mayo,ORG,50
399,Last week,DATE,50
400,Sam McConkey,PERSON,50
401,10 days,DATE,50
402,Level 5,FAC,50
403,Faye Brookes,PERSON,50
404,House,ORG,49
405,CSO,ORG,49
406,ONE,CARDINAL,49
407,Govt,ORG,49
408,Iran,GPE,49
409,the summer,DATE,49
410,Netherlands,GPE,49
411,35,CARDINAL,49
412,Ryanair,PERSON,49
413,UFC,ORG,48
414,ESRI,ORG,48
415,the Health Protection Surveillance Centre,ORG,48
416,Nick Tilsley,PERSON,48
417,Israel,GPE,48
418,weekend,DATE,48
419,Yesterday,DATE,48
420,Carla,PERSON,48
421,afternoon,TIME,48
422,39,DATE,47
423,400,CARDINAL,47
424,DUBLIN,ORG,47
425,5km,QUANTITY,47
426,Thailand,GPE,47
427,April 5,DATE,47
428,35,DATE,47
429,Sally Metcalfe,PERSON,47
430,Holly Willoughby,PERSON,47
431,the coming days,DATE,47
432,Daniel Osbourne,PERSON,47
433,WhatsApp,ORG,46
434,midnight,TIME,46
435,Cheltenham,PERSON,46
436,a day,DATE,46
437,Martin,ORG,46
438,Michelle,PERSON,46
439,Tim,PERSON,46
440,Northern Ireland’s,GPE,46
441,Paschal Donohoe,PERSON,46
442,41,CARDINAL,46
443,Africa,LOC,45
444,Canada,GPE,45
445,The National Public Health Emergency Team,ORG,45
446,33,CARDINAL,45
447,45,CARDINAL,45
448,37,CARDINAL,45
449,Sinn Féin,PERSON,45
450,Shayne Ward,PERSON,45
451,Dubai,GPE,45
452,Gemma Collins,PERSON,45
453,two years,DATE,45
454,30,DATE,45
455,27,CARDINAL,44
456,SECOND,ORDINAL,44
457,COVID-19,PRODUCT,44
458,"200,000",CARDINAL,44
459,Covid - Independent.ie,PERSON,44
460,six-week,DATE,44
461,Drew Harris,PERSON,44
462,FOUR,CARDINAL,44
463,Boris Johnson’s,PERSON,44
464,31,CARDINAL,44
465,High Court,ORG,44
466,Northern Ireland's,GPE,44
467,fifth,ORDINAL,44
468,Tánaiste Leo Varadkar,PERSON,44
469,70,CARDINAL,44
470,Washington,GPE,44
471,Democratic,NORP,43
472,"50,000",CARDINAL,43
473,AIB,ORG,43
474,Trump’s,ORG,43
475,54,CARDINAL,43
476,the World Health Organization,ORG,43
477,overnight,TIME,43
478,"5,000",CARDINAL,43
479,Sarah Platt,PERSON,43
480,the Irish Sun,ORG,43
481,the Premier League,ORG,42
482,"20,000",CARDINAL,42
483,Limerick,ORG,42
484,Asian,NORP,42
485,Robert Preston,PERSON,42
486,8211,DATE,42
487,Cristiano Ronaldo,PERSON,42
488,Corona,GPE,42
489,this Christmas,DATE,42
490,UEFA,GPE,42
491,27,DATE,42
492,Chelsea,ORG,42
493,The World Health Organization,ORG,42
494,LA,GPE,42
495,Enda O'Dowd,PERSON,41
496,100,MONEY,41
497,Beverley Callard,PERSON,41
498,31,DATE,41
499,covid-19,PERSON,41
500,32,DATE,41
501,Swedish,NORP,41
502,8,CARDINAL,41
503,Tesco,ORG,41
504,Holohan,ORG,41
505,39,CARDINAL,41
506,Harry,PERSON,41
507,47,DATE,41
508,Donald Trump’s,PERSON,41
509,Colson Smith,PERSON,41
510,85,CARDINAL,41
511,Matt Damon,PERSON,41
512,Kilkenny,PERSON,40
513,The Irish Sun IRISH,ORG,40
514,two days,DATE,40
515,Stephen Kenny,PERSON,40
516,Grafton Street,FAC,40
517,Slovakia,ORG,40
518,Q&A,ORG,40
519,one million,CARDINAL,40
520,Jane Danson,PERSON,40
521,Irish Times,ORG,40
522,Sun IRELAND’S,PERSON,40
523,Half,CARDINAL,39
524,20%,PERCENT,39
525,Varadkar,PERSON,39
526,"3,000",CARDINAL,39
527,Victoria,GPE,39
528,Government,ORG,39
529,Susanna Reid,PERSON,39
530,Meath,ORG,39
531,UCD,ORG,38
532,34,DATE,38
533,seven days,DATE,38
534,SPAIN,GPE,38
535,GMB,ORG,38
536,90%,PERCENT,38
537,four weeks,DATE,38
538,World Health Organisation,ORG,38
539,South African,NORP,38
540,BRITAIN,GPE,38
541,Champions League,ORG,38
542,season,DATE,38
543,55,DATE,38
544,Claire Byrne,PERSON,38
545,Tom Hanks,PERSON,38
546,three days,DATE,38
547,Late Late Show,WORK_OF_ART,38
548,38,CARDINAL,38
549,Scottish,NORP,38
550,46,CARDINAL,38
551,Glynn,PERSON,38
552,Mikey North,PERSON,38
553,the White House,ORG,38
554,33,DATE,37
555,up to,CARDINAL,37
556,Tottenham,PERSON,37
557,Croke Park,LOC,37
558,150,CARDINAL,37
559,Coveney,PERSON,37
560,Japanese,NORP,37
561,Healthcare,ORG,37
562,92,CARDINAL,37
563,New York City,GPE,37
564,Sinn Fein,ORG,37
565,100k,CARDINAL,37
566,300,CARDINAL,37
567,Singapore,GPE,37
568,one week,DATE,37
569,Michael,PERSON,37
570,38,DATE,37
571,56,CARDINAL,36
572,53,DATE,36
573,Tanaiste,GPE,36
574,77,CARDINAL,36
575,Yasmeen Nazir,PERSON,36
576,Los Angeles,GPE,36
577,Katie Price,PERSON,36
578,Bethany Platt,PERSON,36
579,Sarah,PERSON,36
580,Fianna Fáil,ORG,36
581,Sydney,GPE,36
582,the week,DATE,36
583,Ofcom,ORG,36
584,Netflix,GPE,36
585,Fair City,GPE,36
586,a single day,DATE,35
587,Derry,PERSON,35
588,25%,PERCENT,35
589,Steve,PERSON,35
590,90,CARDINAL,35
591,36,DATE,35
592,Liz McDonald,PERSON,35
593,Manchester City,GPE,35
594,MUM,ORG,35
595,Jacinda Ardern,PERSON,35
596,80,CARDINAL,35
597,Taoiseach,GPE,35
598,earlier this year,DATE,35
599,Higgins,PERSON,35
600,WWE,ORG,35
601,Simon Gregson,PERSON,35
602,the end of the month,DATE,35
603,7,CARDINAL,35
604,24-hour,TIME,35
605,Leyen,GPE,34
606,Democrats,NORP,34
607,five days,DATE,34
608,Rana,PERSON,34
609,non-Covid,NORP,34
610,Shona Ramsey,PERSON,34
611,27-year-old,DATE,34
612,Taoiseach Micheál Martin,PERSON,34
613,the coming months,DATE,34
614,The Irish Sun CHINA,ORG,34
615,28,DATE,34
616,53,CARDINAL,34
617,40,DATE,34
618,Andrew Cuomo,PERSON,34
619,Eileen Grimshaw,PERSON,34
620,"500,000",CARDINAL,34
621,Adam Barlow,PERSON,34
622,39-year-old,DATE,34
623,New Year,EVENT,34
624,32,CARDINAL,34
625,45,DATE,34
626,24,DATE,34
627,Leanne,ORG,34
628,&,ORG,34
