,Country,Outlet,Month-Year,Ratio
97,New Zealand,newshub.co.nz,Feb-2020,0.000835421888053467
98,Ireland,breakingnews.ie,Feb-2020,0.009259259259259259
99,Ireland,rte.ie,Feb-2020,0.002369668246445498
100,USA,politico.com,Feb-2020,0.0018083182640144665
101,Ireland,irishmirror.ie,Feb-2020,0.0
102,UK,telegraph.co.uk,Feb-2020,0.0005278437582475588
103,USA,washingtontimes.com,Feb-2020,0.0029702970297029703
104,USA,huffpost.com,Feb-2020,0.0005837711617046118
105,USA,nypost.com,Feb-2020,0.0016533480297602646
106,UK,mirror.co.uk,Feb-2020,0.0005454793399699986
107,Australia,smh.com.au,Feb-2020,0.002264720684448918
108,UK,scotsman.com,Feb-2020,0.0031007751937984496
109,Canada,cbc.ca,Feb-2020,0.003177124702144559
110,International,upi.com,Feb-2020,0.0030864197530864196
111,USA,breitbart.com,Feb-2020,0.0015708451146716933
112,International,euronews.com,Feb-2020,0.0008291873963515755
113,Ireland,irishtimes.com,Feb-2020,0.0011261261261261261
114,USA,chicagotribune.com,Feb-2020,0.0008410428931875525
115,Canada,torontosun.com,Feb-2020,0.0005824111822947001
116,France,france24.com,Feb-2020,0.0048814504881450485
117,International,cnbc.com,Feb-2020,0.0033692722371967657
118,New Zealand,stuff.co.nz,Feb-2020,0.0012686330478908975
119,USA,csmonitor.com,Feb-2020,0.0
120,International,aljazeera.com,Feb-2020,0.00138217000691085
121,UK,channel4.com,Feb-2020,0.0
122,USA,slate.com,Feb-2020,0.0013280212483399733
123,New Zealand,scoop.co.nz,Feb-2020,0.0005589714924538849
124,UK,metro.co.uk,Feb-2020,0.0009897723523589574
125,USA,npr.org,Feb-2020,0.0035169988276670576
126,Ireland,irishexaminer.com,Feb-2020,0.0012626262626262627
127,UK,thesun.co.uk,Feb-2020,0.0006882312456985547
128,USA,foxnews.com,Feb-2020,0.000556689552792726
129,USA,nytimes.com,Feb-2020,0.0
130,International,reuters.com,Feb-2020,0.0026538397744236193
131,International,news.yahoo.com,Feb-2020,0.0020555990602975725
132,USA,inquirer.com,Feb-2020,0.0015965939329430547
133,UK,itv.com,Feb-2020,0.003896103896103896
134,Australia,afr.com,Feb-2020,0.0012111425111021397
135,UK,liverpoolecho.co.uk,Feb-2020,0.0
136,UK,standard.co.uk,Feb-2020,0.0013215859030837004
137,UK,news.sky.com,Feb-2020,0.0007092198581560284
138,UK,independent.co.uk,Feb-2020,0.0008496176720475786
139,UK,walesonline.co.uk,Feb-2020,0.0
140,USA,cbsnews.com,Feb-2020,0.0015735641227380016
141,Australia,news.com.au,Feb-2020,0.0022459292532285235
142,Ireland,thesun.ie,Feb-2020,0.001066477070742979
143,Canada,thestar.com,Feb-2020,0.0
144,Canada,theglobeandmail.com,Feb-2020,0.0016186468112657818
145,International,rt.com,Feb-2020,0.00211864406779661
146,USA,thehill.com,Feb-2020,0.004932182490752158
147,Australia,sbs.com.au,Feb-2020,0.003663003663003663
