,Period,Vader
0,1-2020,-0.07518025210084034
1,2-2020,-0.10646997167138811
2,3-2020,0.053651859723698195
3,4-2020,0.07878469387755102
4,5-2020,0.13706377823408625
5,6-2020,0.09907576318223867
6,7-2020,0.1775625566636446
7,8-2020,0.13428586083853702
8,9-2020,0.08616389743589743
9,10-2020,0.09013611623616236
10,11-2020,0.23100787457687513
11,12-2020,0.12888362963631442
12,1-2021,-0.0036134479448468454
13,2-2021,0.04826743869209809
14,3-2021,0.020185662220278445
15,4-2021,0.04971603927986907
