,Brand,Vader
233,AstraZeneca,-0.3818
234,Johnson & Johnson,-0.3818
235,Sputnik V,0.7976
236,Biontech,0.5106
237,Pfizer,0.5106
238,AstraZeneca,0.6039
239,Pfizer,0.1027
240,AstraZeneca,-0.9314
241,Biontech,0.0
242,Pfizer,0.0
243,AstraZeneca,0.5267
244,Biontech,0.6715
245,Pfizer,0.6715
246,AstraZeneca,0.0
247,AstraZeneca,0.6486
248,Biontech,0.4464
249,Pfizer,0.4464
250,Pfizer,-0.2263
251,Moderna,-0.4767
252,AstraZeneca,0.0
253,AstraZeneca,0.7717
254,AstraZeneca,0.0
255,Biontech,0.0
256,Pfizer,0.0
257,Moderna,0.0
258,Johnson & Johnson,0.0
259,Moderna,-0.2732
260,Moderna,0.8674
261,AstraZeneca,0.3612
262,Biontech,0.7351
263,Pfizer,0.7351
264,Pfizer,0.8126
265,Moderna,0.8126
266,Pfizer,-0.3612
267,AstraZeneca,-0.296
268,AstraZeneca,0.0
269,AstraZeneca,-0.8172
270,Sputnik V,0.3182
271,AstraZeneca,0.1779
272,AstraZeneca,-0.9062
273,Pfizer,0.6395
274,Moderna,0.6395
275,Biontech,0.4215
276,Pfizer,0.4215
277,Pfizer,-0.2177
278,Johnson & Johnson,0.0
279,Biontech,0.4019
280,Pfizer,0.4019
281,AstraZeneca,0.6633
282,AstraZeneca,0.8225
283,AstraZeneca,0.4019
284,Biontech,0.8053
285,Pfizer,0.8053
286,Moderna,0.7906
287,AstraZeneca,0.4215
288,AstraZeneca,0.0
289,Sputnik V,0.0
290,Moderna,0.7717
291,AstraZeneca,0.6249
292,Biontech,0.7906
293,Pfizer,0.7906
294,Pfizer,0.3804
295,Pfizer,0.9454
296,Moderna,0.9454
297,Pfizer,0.4019
298,Moderna,0.4019
299,Biontech,0.3182
300,Pfizer,0.3182
301,Pfizer,0.2732
302,AstraZeneca,0.5106
303,Pfizer,0.0
304,AstraZeneca,0.0772
305,Moderna,0.7184
306,AstraZeneca,0.6597
307,Pfizer,-0.4939
308,Moderna,0.4364
309,AstraZeneca,0.6126
310,Moderna,0.0521
311,Johnson & Johnson,0.0521
312,AstraZeneca,0.128
313,AstraZeneca,0.4215
314,Johnson & Johnson,0.4215
315,Pfizer,0.1779
316,AstraZeneca,-0.6369
317,AstraZeneca,-0.9081
318,AstraZeneca,0.0
319,Biontech,0.9587
320,Pfizer,0.9587
321,Moderna,0.9587
322,Sputnik V,0.2023
323,AstraZeneca,-0.6369
324,Pfizer,0.3597
325,AstraZeneca,-0.4767
326,Biontech,0.7943
327,Pfizer,0.7943
328,Moderna,0.0
329,Moderna,0.0772
330,Moderna,0.9241
331,AstraZeneca,-0.2606
332,AstraZeneca,-0.34
333,AstraZeneca,-0.8934
334,Pfizer,0.4767
335,Biontech,-0.1027
336,Moderna,-0.1027
337,AstraZeneca,0.2057
338,Sputnik V,0.0
339,Moderna,-0.1779
340,AstraZeneca,0.4215
341,Biontech,-0.2144
342,Pfizer,-0.2144
343,AstraZeneca,-0.296
344,Pfizer,-0.4215
345,AstraZeneca,-0.25
346,Pfizer,0.4019
347,AstraZeneca,0.4019
348,Johnson & Johnson,-0.7717
349,AstraZeneca,-0.1027
350,Pfizer,0.2023
351,Moderna,0.2023
352,Moderna,0.0
353,Moderna,-0.9201
354,AstraZeneca,-0.9268
355,Biontech,-0.8828
356,Pfizer,-0.8828
357,Moderna,-0.8828
358,Johnson & Johnson,-0.8828
359,Pfizer,0.6597
360,Moderna,0.6597
361,Johnson & Johnson,0.6597
362,Pfizer,-0.3612
363,Pfizer,-0.6523
364,Biontech,-0.743
365,Pfizer,-0.743
366,AstraZeneca,0.0
367,AstraZeneca,0.8176
368,Moderna,0.7297
369,Pfizer,-0.1779
370,Pfizer,0.0
371,Pfizer,0.7102
372,Moderna,0.7102
373,AstraZeneca,0.7184
374,Pfizer,-0.6486
375,AstraZeneca,0.0
376,AstraZeneca,-0.6705
377,Johnson & Johnson,0.2023
378,AstraZeneca,0.25
379,Biontech,0.0
380,Pfizer,0.0
381,AstraZeneca,0.0
382,AstraZeneca,0.0
383,AstraZeneca,-0.5859
384,AstraZeneca,0.6808
385,Sputnik V,0.802
386,Moderna,0.6486
387,AstraZeneca,0.0
388,Johnson & Johnson,0.0
389,Pfizer,0.4228
390,Pfizer,0.296
391,Moderna,0.296
392,Biontech,-0.765
393,Pfizer,-0.765
394,AstraZeneca,-0.2263
395,AstraZeneca,-0.1779
396,Moderna,-0.4973
397,AstraZeneca,-0.128
398,Biontech,0.9022
399,Pfizer,0.9022
400,Pfizer,0.4118
401,Moderna,0.4118
402,Pfizer,0.34
403,Moderna,0.7128
404,AstraZeneca,-0.765
405,AstraZeneca,0.3804
406,Biontech,0.09
407,Pfizer,0.09
408,Pfizer,0.0516
409,Biontech,0.7845
410,Pfizer,0.7845
411,Johnson & Johnson,0.8979
412,Johnson & Johnson,-0.2263
413,Pfizer,0.1406
414,Johnson & Johnson,-0.6369
415,Biontech,0.6815
416,Pfizer,0.6815
417,Biontech,0.8239
418,Pfizer,0.8239
419,AstraZeneca,0.0
420,Biontech,-0.9678
421,Pfizer,-0.9678
422,Moderna,-0.25
423,AstraZeneca,0.0
424,Moderna,0.6486
425,Pfizer,-0.5106
426,AstraZeneca,0.0516
427,AstraZeneca,-0.765
428,Moderna,0.2006
429,AstraZeneca,0.6369
430,Biontech,0.6369
431,Pfizer,0.6369
432,Moderna,0.6369
433,AstraZeneca,0.4404
434,Moderna,0.7783
435,Pfizer,0.25
436,AstraZeneca,0.1531
437,Johnson & Johnson,0.4019
438,Sputnik V,0.128
439,Pfizer,0.4939
440,AstraZeneca,-0.2263
441,Johnson & Johnson,0.128
442,Moderna,0.0
443,Moderna,-0.1441
444,AstraZeneca,0.0
445,AstraZeneca,-0.9118
446,Moderna,-0.6976
447,Sputnik V,-0.891
448,AstraZeneca,0.0
449,AstraZeneca,0.7672
450,Pfizer,-0.3818
451,Pfizer,0.2263
452,Pfizer,-0.7845
453,Moderna,0.5859
454,Pfizer,0.3919
455,AstraZeneca,-0.7579
456,Moderna,0.296
457,AstraZeneca,-0.8779
458,AstraZeneca,0.5719
459,AstraZeneca,0.6124
460,Moderna,0.4019
461,Johnson & Johnson,-0.3818
462,AstraZeneca,0.1869
463,AstraZeneca,0.8885
464,Pfizer,0.8885
465,Pfizer,0.0
466,AstraZeneca,-0.6808
467,Pfizer,-0.4767
468,Pfizer,0.0465
469,Pfizer,0.0
470,AstraZeneca,0.0258
471,Johnson & Johnson,-0.4019
472,Pfizer,-0.7003
473,Pfizer,-0.875
474,Pfizer,-0.9201
475,Pfizer,0.6557
476,Moderna,0.0
477,Biontech,0.1531
478,Biontech,0.4019
479,Pfizer,0.4019
480,AstraZeneca,-0.3818
481,Biontech,-0.5994
482,Pfizer,-0.5994
483,Moderna,-0.5994
484,Pfizer,0.0
485,Pfizer,0.0
486,Biontech,0.0
487,Johnson & Johnson,0.4939
488,AstraZeneca,0.0227
489,Biontech,0.8908
490,Pfizer,0.8908
491,AstraZeneca,-0.1655
492,Biontech,0.2023
493,Pfizer,0.2023
494,AstraZeneca,0.2846
495,AstraZeneca,-0.6249
496,AstraZeneca,0.5267
497,AstraZeneca,0.875
498,Pfizer,0.0
499,Pfizer,0.0
500,AstraZeneca,0.902
501,Moderna,0.902
502,Johnson & Johnson,0.0
503,AstraZeneca,0.6705
504,Biontech,0.0
505,Pfizer,0.0
506,Pfizer,-0.3818
507,AstraZeneca,-0.7184
508,Biontech,0.0
509,Pfizer,0.0
510,AstraZeneca,0.2263
511,Pfizer,0.2263
512,Moderna,0.2263
513,AstraZeneca,0.0
514,Pfizer,0.0
515,AstraZeneca,0.4588
516,Pfizer,0.5881
517,Moderna,0.0772
518,AstraZeneca,0.6956
519,Biontech,0.6956
520,Pfizer,0.6956
521,Moderna,0.6956
522,Sputnik V,0.6956
523,AstraZeneca,0.128
524,Biontech,0.128
525,Pfizer,0.128
526,Biontech,-0.0772
527,Pfizer,-0.0772
528,Pfizer,-0.6124
529,Pfizer,0.1531
530,AstraZeneca,-0.4767
531,AstraZeneca,0.0
532,AstraZeneca,0.8438
533,Sputnik V,0.4215
534,AstraZeneca,-0.3612
535,Pfizer,0.4215
536,Pfizer,-0.9959
537,AstraZeneca,0.0
538,Pfizer,0.0
539,Johnson & Johnson,0.0258
540,AstraZeneca,0.6124
541,Johnson & Johnson,-0.6597
542,AstraZeneca,0.8126
543,AstraZeneca,0.5423
544,AstraZeneca,0.1548
545,AstraZeneca,0.0
546,AstraZeneca,0.0
547,Pfizer,0.4215
548,Moderna,0.4215
549,AstraZeneca,0.8271
550,Pfizer,-0.5709
