,Period,Vader
0,0-0-2020,-0.08247826086956522
1,0-1-2020,-0.251835
2,0-2-2020,-0.11408297872340427
3,0-3-2020,-0.17579705882352942
4,0-4-2020,0.04574851485148514
5,0-5-2020,-0.04826333333333333
6,0-6-2020,-0.14508064516129032
7,0-7-2020,-0.04110681818181818
8,0-8-2020,-0.11388333333333332
9,0-9-2020,-0.0042159624413145545
10,0-10-2020,-0.01257948717948718
11,0-11-2020,0.0761741935483871
12,0-12-2020,0.09572285714285715
13,0-13-2020,0.05956679245283019
14,0-14-2020,0.08259939577039274
15,0-15-2020,0.08031969696969697
16,0-16-2020,0.05893962900505902
17,0-17-2020,0.08324088397790055
18,0-18-2020,0.06984100946372239
19,0-19-2020,0.07429568245125348
20,0-20-2020,0.23299302915082384
21,0-21-2020,0.1583240291262136
22,0-22-2020,0.03628181818181818
23,0-23-2020,0.06129750889679715
24,0-24-2020,0.11377088122605364
25,0-25-2020,0.12026566037735849
26,0-26-2020,0.20240544871794872
27,0-27-2020,0.11075492957746479
28,0-28-2020,0.14687636655948552
29,0-29-2020,0.1921148527528809
30,0-30-2020,0.19047555555555556
31,0-31-2020,0.15240774058577405
32,0-32-2020,0.16217757909215955
33,0-33-2020,0.12336083788706739
34,0-34-2020,0.09929253731343284
35,0-35-2020,0.12051137026239067
36,0-36-2020,0.06814691501746217
37,0-37-2020,0.0943744578313253
38,0-38-2020,0.1090870848708487
39,0-39-2020,0.004464386317907445
40,0-40-2020,0.1433791489361702
41,0-41-2020,0.03681393188854489
42,0-42-2020,0.07411111111111111
43,0-43-2020,0.16331798418972332
44,0-44-2020,0.13248962765957448
45,0-45-2020,0.25045212155963303
46,0-46-2020,0.2559478415439309
47,0-47-2020,0.2254285882352941
48,0-48-2020,0.18028593631539044
49,0-49-2020,0.12760647810218978
50,0-50-2020,0.11753620301959525
51,0-51-2020,0.10364844597927973
52,0-52-2020,0.10381604308390022
53,0-0-2021,0.03920862068965517
54,0-1-2021,0.02385579738820736
55,0-2-2021,0.01813438498402556
56,0-3-2021,0.0006936565803864379
57,0-4-2021,-0.019328336333247622
58,0-5-2021,0.02446411833626245
59,0-6-2021,0.030311216012084592
60,0-7-2021,0.03909947589098532
61,0-8-2021,0.08610623247117483
62,0-9-2021,0.07499921639541893
63,0-10-2021,0.05263736689254598
64,0-11-2021,-0.007818737006237005
65,0-12-2021,-0.01291033785734912
66,0-13-2021,0.025745137046861186
