,Period,Vader
0,2020-01-01,-0.18666666666666668
1,2020-01-02,0.11173333333333334
2,2020-01-03,0.04876666666666665
3,2020-01-04,-0.22845000000000001
4,2020-01-05,-0.15426
5,2020-01-06,-0.24425
6,2020-01-07,-0.26026
7,2020-01-08,-0.20045714285714286
8,2020-01-09,-0.2979833333333333
9,2020-01-10,-0.44465
10,2020-01-11,-0.5341
11,2020-01-12,-0.35523333333333335
12,2020-01-13,-0.38635
13,2020-01-14,-0.14016250000000002
14,2020-01-15,-0.26076666666666665
15,2020-01-16,-0.12993333333333335
16,2020-01-17,-0.13853333333333331
17,2020-01-18,-0.029485714285714275
18,2020-01-19,0.024183333333333338
19,2020-01-20,-0.14878461538461538
20,2020-01-21,-0.05257647058823529
21,2020-01-22,-0.2561125
22,2020-01-23,-0.11591764705882354
23,2020-01-24,-0.12728235294117649
24,2020-01-25,0.06004166666666667
25,2020-01-26,0.028849999999999987
26,2020-01-27,0.08714999999999999
27,2020-01-28,-0.14519615384615386
28,2020-01-29,0.24399444444444443
29,2020-01-30,0.16683170731707317
30,2020-01-31,0.08370645161290323
31,2020-02-01,-0.010093333333333331
32,2020-02-02,-0.05096428571428572
33,2020-02-03,-0.17979655172413794
34,2020-02-04,-0.12317586206896551
35,2020-02-05,0.150740625
36,2020-02-06,0.03385185185185185
37,2020-02-07,-0.08862666666666667
38,2020-02-08,0.11908000000000003
39,2020-02-09,-0.10237142857142856
40,2020-02-10,-0.0365157894736842
41,2020-02-11,-0.04189629629629629
42,2020-02-12,0.07575833333333333
43,2020-02-13,-0.14671153846153845
44,2020-02-14,-0.149824
45,2020-02-15,-0.12909565217391306
46,2020-02-16,0.15282
47,2020-02-17,-0.07155238095238095
48,2020-02-18,-0.09433125
49,2020-02-19,0.04303529411764706
50,2020-02-20,0.15924444444444444
51,2020-02-21,0.06860000000000001
52,2020-02-22,0.0337909090909091
53,2020-02-23,-0.008176470588235289
54,2020-02-24,-0.29748095238095235
55,2020-02-25,-0.1342568181818182
56,2020-02-26,-0.07580769230769231
57,2020-02-27,-0.05
58,2020-02-28,-0.09458749999999999
59,2020-02-29,0.010277777777777771
60,2020-03-01,-0.07983157894736843
61,2020-03-02,0.06462380952380953
62,2020-03-03,0.060859375
63,2020-03-04,-0.043123076923076924
64,2020-03-05,-0.016794230769230766
65,2020-03-06,-0.06810999999999999
66,2020-03-07,-0.11995333333333333
67,2020-03-08,-0.17326451612903226
68,2020-03-09,-0.08292894736842105
69,2020-03-10,-0.04340416666666667
70,2020-03-11,-0.0798076923076923
71,2020-03-12,0.025022222222222227
72,2020-03-13,0.08715555555555556
73,2020-03-14,0.02015609756097561
74,2020-03-15,0.03206923076923077
75,2020-03-16,0.11215409836065572
76,2020-03-17,0.13838272727272727
77,2020-03-18,0.03951818181818181
78,2020-03-19,0.0026333333333333334
79,2020-03-20,0.07154642857142857
80,2020-03-21,0.06415555555555555
81,2020-03-22,0.24435737704918034
82,2020-03-23,0.302739393939394
83,2020-03-24,0.18658181818181818
84,2020-03-25,0.09975625
85,2020-03-26,0.06487323943661971
86,2020-03-27,0.09690178571428572
87,2020-03-28,0.08394390243902439
88,2020-03-29,0.05048108108108108
89,2020-03-30,0.02665652173913043
90,2020-03-31,0.11824067796610169
91,2020-04-01,0.07173333333333333
92,2020-04-02,0.08919342105263157
93,2020-04-03,0.009160937499999997
94,2020-04-04,0.08665283018867924
95,2020-04-05,0.051298
96,2020-04-06,0.1263788732394366
97,2020-04-07,-0.006805263157894738
98,2020-04-08,0.06134883720930232
99,2020-04-09,0.12336666666666667
100,2020-04-10,0.11868243243243244
101,2020-04-11,0.19294166666666668
102,2020-04-12,0.12456794871794873
103,2020-04-13,0.08265277777777777
104,2020-04-14,0.05133355263157895
105,2020-04-15,0.016967241379310348
106,2020-04-16,0.08046458333333333
107,2020-04-17,0.10800467289719626
108,2020-04-18,0.04297254901960784
109,2020-04-19,-0.03577634408602151
110,2020-04-20,0.01858629032258064
111,2020-04-21,0.0355064
112,2020-04-22,0.06484701986754966
113,2020-04-23,0.057223589743589744
114,2020-04-24,0.05921951219512195
115,2020-04-25,0.12201296296296296
116,2020-04-26,0.05520175438596491
117,2020-04-27,-0.014438888888888892
118,2020-04-28,0.13032214285714286
119,2020-04-29,0.03242348484848485
120,2020-04-30,0.153201875
121,2020-05-01,0.12750431654676259
122,2020-05-02,0.055115625
123,2020-05-03,0.05370178571428571
124,2020-05-04,0.07098317757009345
125,2020-05-05,0.04938883495145631
126,2020-05-06,0.044437106918238996
127,2020-05-07,0.039655833333333335
128,2020-05-08,0.09533904761904761
129,2020-05-09,0.10672376237623762
130,2020-05-10,0.054693023255813954
131,2020-05-11,-0.014646956521739134
132,2020-05-12,0.01942715231788079
133,2020-05-13,0.06245800000000001
134,2020-05-14,0.06312788461538461
135,2020-05-15,0.0583381679389313
136,2020-05-16,0.08145523255813952
137,2020-05-17,0.03302564102564102
138,2020-05-18,0.27188333333333337
139,2020-05-19,0.3477610655737705
140,2020-05-20,0.15899426229508198
141,2020-05-21,0.19724172185430464
142,2020-05-22,0.2280858024691358
143,2020-05-23,0.20512290076335876
144,2020-05-24,0.24851626016260162
145,2020-05-25,0.17305
146,2020-05-26,0.18963802816901407
147,2020-05-27,0.16946576576576577
148,2020-05-28,0.0872961038961039
149,2020-05-29,0.1304112676056338
150,2020-05-30,0.13440677966101694
151,2020-05-31,0.043219607843137255
152,2020-06-01,0.05063962264150944
153,2020-06-02,0.008138157894736838
154,2020-06-03,0.11167191011235954
