,entity,label,occurrences
238,Pharmac,ORG,4
239,season,DATE,4
240,Pharmac,NORP,4
241,early next year,DATE,4
242,The European Medicines Agency,ORG,4
243,covid-19,PERSON,4
244,Meningitis,NORP,4
245,Cabinet,ORG,4
246,Democratic,NORP,4
247,last month,DATE,4
248,Harris,PERSON,4
249,RNZ News Health,ORG,4
250,Marlborough,GPE,4
251,Covid vaccine - NZ,PERSON,4
252,2018,DATE,4
253,Covid vaccine,PERSON,4
254,COVID-19 Response,PERSON,4
255,Māori,GPE,4
256,hours,TIME,4
257,early 2021,DATE,4
258,EMA,ORG,4
259,two weeks,DATE,4
260,15,CARDINAL,4
261,Tauranga,GPE,4
262,Explainer,PERSON,4
263,Samoans,NORP,4
264,Hamilton,PERSON,4
265,Hurunui,GPE,4
266,Yesterday,DATE,4
267,Sputnik,ORG,4
268,French,NORP,4
269,Reti,PERSON,4
270,University of Otago,ORG,4
271,Chris,PERSON,4
272,May,DATE,4
273,the University of Oxford,ORG,4
274,Five,CARDINAL,4
275,Pete Evans,PERSON,4
276,six,CARDINAL,4
277,Afghanistan,GPE,4
278,Bryce Cartwright,PERSON,4
279,France,GPE,4
280,Pacific,ORG,4
281,Southern DHB,ORG,4
282,25,CARDINAL,4
283,Chris Bishop,PERSON,4
284,fourth,ORDINAL,4
285,Last week,DATE,4
286,14,CARDINAL,4
287,Queenstown,GPE,4
288,America,GPE,4
289,15-month-old,DATE,4
290,England,GPE,4
291,Asia,LOC,3
292,at least a year,DATE,3
293,Graham Le Gros,PERSON,3
294,BBC Radio 5 Live's Naked Scientists,ORG,3
295,"750,000",CARDINAL,3
296,Fauci,PERSON,3
297,OECD,ORG,3
298,9,CARDINAL,3
299,Christmas,DATE,3
300,David Murdoch,PERSON,3
301,Vanuatu,ORG,3
302,September,DATE,3
303,Brian Deer,PERSON,3
304,Expert,PERSON,3
305,Pacific Island,LOC,3
306,GP,ORG,3
307,The Marshall Islands,GPE,3
308,Queensland,GPE,3
309,United Nations,ORG,3
310,RNZ News Samoa's,ORG,3
311,Maori,GPE,3
312,Brexit,PERSON,3
313,2016,DATE,3
314,Jessica Biel,PERSON,3
315,The World Health Organisation,ORG,3
316,the day,DATE,3
317,Scoop News Health,ORG,3
318,Indian,NORP,3
319,AstraZeneca,LAW,3
320,the World Health Organization ( WHO,ORG,3
321,Lancet,ORG,3
322,The National Party,ORG,3
323,Herald Vaccine,PERSON,3
324,Helen Clark,PERSON,3
325,South Canterbury,LOC,3
326,Push,PERSON,3
327,the University of Auckland,ORG,3
328,a few months,DATE,3
329,States,GPE,3
330,8,CARDINAL,3
331,28,CARDINAL,3
332,Kathryn Ryan,PERSON,3
333,Herald Vaccine,ORG,3
334,Ireland,GPE,3
335,the White House,ORG,3
336,the Tokyo Olympics,EVENT,3
337,World Health Organisation,ORG,3
338,Janssen Pharmaceutica,LOC,3
339,60,CARDINAL,3
340,Amnesty International,ORG,3
341,Herald Health,ORG,3
342,Ghana,GPE,3
343,Simon Bridges,PERSON,3
344,15 months,DATE,3
345,National Party,ORG,3
346,12,CARDINAL,3
347,morning,TIME,3
348,Netherlands,GPE,3
349,Norway,GPE,3
350,five,CARDINAL,3
351,Covid Vaccine,PERSON,3
352,Melbourne,GPE,3
353,Hong Kong,GPE,3
354,Kathryn,PERSON,3
