,entity,label,occurrences
236,Indonesian,NORP,10
237,September,DATE,10
238,December,DATE,10
239,late February,DATE,10
240,12,CARDINAL,10
241,the World Health Organization,ORG,10
242,"250,000",CARDINAL,10
243,London,GPE,10
244,1 million,CARDINAL,10
245,the White House,ORG,9
246,Wuhan,GPE,9
247,Aussies,ORG,9
248,Italian,NORP,9
249,Yesterday,DATE,9
250,Federal Health,ORG,9
251,Gladys Berejiklian,GPE,9
252,Tegan,GPE,9
253,Treasurer Josh Frydenberg,PERSON,9
254,the United Kingdom,GPE,9
255,Quad,GPE,9
256,95 per cent,MONEY,9
257,65,DATE,9
258,"100,000",CARDINAL,9
259,Latest,ORG,9
260,Today,DATE,9
261,Denmark,GPE,9
262,the end of March,DATE,9
263,Pakistan,GPE,9
264,Hanson,ORG,8
265,Brisbane,GPE,8
266,half,CARDINAL,8
267,Brazilian,NORP,8
268,18 months,DATE,8
269,Second,ORDINAL,8
270,Western,NORP,8
271,Moderna COVID-19,PERSON,8
272,Tasmania,GPE,8
273,Parliament,ORG,8
274,the week,DATE,8
275,May,DATE,8
276,1B,CARDINAL,8
277,RBA,ORG,8
278,Anthony Mundine,PERSON,8
279,"5,000",CARDINAL,8
280,the US Food and Drug Administration,ORG,8
281,ACT,ORG,8
282,at least one,CARDINAL,8
283,overnight,TIME,8
284,Tory Maguire,PERSON,8
285,100 million,CARDINAL,8
286,Brexit,PERSON,8
287,last month,DATE,8
288,Hong Kong,GPE,8
289,Beijing,GPE,8
290,20,CARDINAL,8
291,billions,CARDINAL,8
292,a year,DATE,7
293,2 million,CARDINAL,7
294,decades,DATE,7
295,West,LOC,7
296,2019,DATE,7
297,Putin,PERSON,7
298,Jane Malysiak,PERSON,7
299,CoronaVac,ORG,7
300,Sweden,GPE,7
301,the Federal Government's,ORG,7
302,11,CARDINAL,7
303,25 million,CARDINAL,7
304,RNA,ORG,7
305,Asia,LOC,7
306,annual,DATE,7
307,13,CARDINAL,7
308,Spanish,NORP,7
309,Liam Mannix,PERSON,7
310,Wisconsin,GPE,7
311,The University of Queensland,ORG,7
312,Gold Coast,LOC,7
313,the year,DATE,7
314,Mexico,GPE,7
315,"30,000",CARDINAL,7
316,Moscow,GPE,7
317,AFL,ORG,7
318,Matt Canavan,PERSON,7
319,Treasury,ORG,7
320,six months,DATE,7
321,week,DATE,7
322,"800,000",CARDINAL,7
323,nine,CARDINAL,7
324,20 million,CARDINAL,7
325,Vanuatu,ORG,7
326,early next week,DATE,6
327,Therapeutic Goods Administration,ORG,6
328,The Therapeutic Goods Administration,ORG,6
329,World Health Organisation,ORG,6
330,Quick Fire,FAC,6
331,last year's,DATE,6
332,two days,DATE,6
333,Malcolm Turnbull,PERSON,6
334,Fauci,ORG,6
335,the Australian Government,ORG,6
336,summer,DATE,6
337,Margaret Keenan,PERSON,6
338,States,GPE,6
339,5,CARDINAL,6
340,U.S.,GPE,6
341,Olympics,EVENT,6
342,a day,DATE,6
343,CMO,ORG,6
344,million,CARDINAL,6
345,The World Health Organization,ORG,6
346,Josh Frydenberg,PERSON,6
347,Turkey,GPE,6
348,Canadian,NORP,6
349,The United Kingdom,GPE,6
350,Johns Hopkins University,ORG,6
351,Air New Zealand,ORG,6
352,one year,DATE,6
353,nine-month,DATE,6
354,Israeli,NORP,6
355,the end of October,DATE,6
356,more than 100,CARDINAL,6
357,Commonwealth,ORG,6
