entity, label, count
129, CARDINAL, 3
David Cameron, PERSON, 3
Simon Gregson's, PERSON, 3
Beverley Callard, PERSON, 3
Les Dennis, ORG, 3
Hayley Tamaddon, PERSON, 3
25-year-old, DATE, 3
Thanksgiving, DATE, 3
Cheshire, GPE, 3
Rovers Return, PERSON, 3
Elizabeth II, PERSON, 3
Alya, PERSON, 3
Audrey Roberts, PERSON, 3
Ronnie, PERSON, 3
Spanish, NORP, 3
Melanie Hill, PERSON, 3
One, CARDINAL, 3
| Celebs | Celebrity News, ORG, 3
Twitter, PERSON, 3
Hollyoaks, ORG, 3
Coronation Street’s, ORG, 3
Coronation Street - Mirror, FAC, 3
EastEnders - Mirror Online, ORG, 3
annual, DATE, 3
Muslim, NORP, 3
thousands, CARDINAL, 3
the weekend, DATE, 3
third day, DATE, 3
Halloween, DATE, 3
Kerry Katona, PERSON, 3
2,000, MONEY, 3
100, CARDINAL, 3
this month, DATE, 2
This Morning, WORK_OF_ART, 2
30-year-old, DATE, 2
Erica Holroyd, PERSON, 2
Two, CARDINAL, 2
eight, CARDINAL, 2
last month, DATE, 2
Bruce Jones, PERSON, 2
Moscow, GPE, 2
Johnny Briggs', PERSON, 2
Karen Briggs, PERSON, 2
49, DATE, 2
three month, DATE, 2
2k, MONEY, 2
six-day, DATE, 2
Stephen Hancock, PERSON, 2
South Korea, GPE, 2
27, CARDINAL, 2
2009, DATE, 2
Texas, GPE, 2
Houston, GPE, 2
Kate Garraway, PERSON, 2
50 years, DATE, 2
Toyota, ORG, 2
Corona, GPE, 2
Japanese, NORP, 2
Claire King, PERSON, 2
Claire, PERSON, 2
Mark, PERSON, 2
Megan, PERSON, 2
Liam Bairstow, PERSON, 2
84-year-old, DATE, 2
Hollyoaks, GPE, 2
Audrey, PERSON, 2
Jennie McAlpine, PERSON, 2
94, CARDINAL, 2
Grandstand, GPE, 2
the Queen's Coronation, ORG, 2
94, DATE, 2
New Coronation Street, ORG, 2
Rhea Bailey, PERSON, 2
five years, DATE, 2
THE White House, ORG, 2
Paula Lane, PERSON, 2
Kylie Platt, PERSON, 2
Shayne Ward's, PERSON, 2
Katie McGlynn, PERSON, 2
Red Dwarf, ORG, 2
Manchester, WORK_OF_ART, 2
four-year-old, DATE, 2
Jack P Shepherd, ORG, 2
21-year, DATE, 2
Shakespeare, PERSON, 2
28-year-old, DATE, 2
28, CARDINAL, 2
Five, CARDINAL, 2
Lamar Odom, GPE, 2
Dougie Ryan, PERSON, 2
Sarah Lancashire, PERSON, 2
Latest News, ORG, 2
Joanie, PERSON, 2
Lewis Hamilton’s, PERSON, 2
Austin, GPE, 2
Emma, PERSON, 2
Shabnam, GPE, 2
five, CARDINAL, 2
March, DATE, 2
hour-long, TIME, 2
Coronation Street Live, FAC, 2
Aaron, PERSON, 2
Nick Tilsley, PERSON, 2
39, DATE, 2
Alabama, GPE, 2
Kirsty Gallacher, PERSON, 2
later this month, DATE, 2
48, CARDINAL, 2
two weeks, DATE, 2
Redcar, GPE, 2
Oxford, ORG, 2
Wednesday evening, TIME, 2
Max Turner, PERSON, 2
earlier this month, DATE, 2
Christian, NORP, 2
Steph Britton's, PERSON, 2
Los Angeles, GPE, 2
McDonald's, ORG, 2
Earth, LOC, 2
millions, CARDINAL, 2
Aidan Connor, ORG, 2
the TV Choice Awards, ORG, 2
Thierry Henry’s, PERSON, 2
12, CARDINAL, 2
the White House, FAC, 2
Michael, PERSON, 2
Sean Ward, ORG, 2
Cherylee Houston, PERSON, 2
Surrey, PERSON, 2
| Metro News, ORG, 2
Kenya, GPE, 2
Barbara Knox, PERSON, 2
Adam Woodyatt, PERSON, 2
Lucy, PERSON, 2
60-minute, TIME, 2
23-year-old, DATE, 2
New Year's Eve, EVENT, 2
Sarah-Louise Platt, PERSON, 2
Delta State University, ORG, 2
86, CARDINAL, 2
Manchester's, DATE, 2
Manchester, GPE, 2
Michael Rodwell, PERSON, 2
Jewel, PERSON, 2
Andrea, PERSON, 2
Ken Barlow's, PERSON, 2
Times Square, FAC, 2
Ross, PERSON, 2
Emmerdale - Mirror, ORG, 2
Max, PERSON, 2
Nick, ORG, 2
Tom Pitfield, PERSON, 2
Monday night, TIME, 2
76-year-old, DATE, 2
LOCKDOWN, GPE, 2
Alya Nazir, PERSON, 2
more than 128, CARDINAL, 2
180, CARDINAL, 2
North Terminal, ORG, 2
English, NORP, 2
Commonwealth, ORG, 2
Canada, GPE, 2
Mercedes, ORG, 2
Queen Mary, PERSON, 2
Empress of Delhi, ORG, 2
this evening, TIME, 2
May Foote, ORG, 2
Justin Bieber, PERSON, 2
Gary Windass, PERSON, 2
Thanksgiving Day, DATE, 2
Johnny, PERSON, 2
Thomas Muchimba Buttenschøn, PERSON, 2
Bill Roache, PERSON, 2
83, DATE, 2
Nessa, PERSON, 2
Jai, PERSON, 2
the year, DATE, 2
the new year, DATE, 2
Kathy, PERSON, 2
Lee, PERSON, 2
Debra Stephenson, PERSON, 2
27, DATE, 2
Bill Roache, ORG, 2
75, CARDINAL, 2
70, CARDINAL, 2
130, CARDINAL, 2
Tristan Gemmill, PERSON, 2
Faye Brookes, PERSON, 2
Serena Williams, PERSON, 2
Sophie Webster, PERSON, 2
2004, DATE, 2
Joseph Caputo, PERSON, 2
Dutch, NORP, 2
Kevin, PERSON, 2
Liverpool, GPE, 2
Ryan Thomas ', PERSON, 2
Jenna Coleman, PERSON, 2
Lake District, LOC, 2
Dean, PERSON, 2
2005, DATE, 2
Pat Phelan, PERSON, 2
Val, PERSON, 2
Independent Brussels, ORG, 2
this Christmas, DATE, 2
2000, DATE, 2
2003, DATE, 2
Hollywood, GPE, 2
DIY, ORG, 2
nearly a week, DATE, 2
three-hour, TIME, 2
