entity, label, count
Ireland, GPE, 6924
Irish, NORP, 2497
first, ORDINAL, 1842
UK, GPE, 1756
today, DATE, 1607
Dublin, GPE, 1573
US, GPE, 1531
one, CARDINAL, 952
two, CARDINAL, 938
The Irish Sun, ORG, 937
China, GPE, 871
second, ORDINAL, 854
Italy, GPE, 738
Northern Ireland, GPE, 714
Europe, LOC, 571
three, CARDINAL, 535
Christmas, DATE, 528
Donald Trump, PERSON, 506
Spain, GPE, 503
GAA, ORG, 477
Britain, GPE, 466
EU, ORG, 436
daily, DATE, 432
yesterday, DATE, 422
four, CARDINAL, 418
State, ORG, 408
this evening, TIME, 396
Coronation Street, FAC, 388
2020, DATE, 379
Boris Johnson, PERSON, 375
London, GPE, 371
five, CARDINAL, 364
France, GPE, 363
Wuhan, GPE, 350
5, CARDINAL, 348
Monday, DATE, 346
British, NORP, 343
Two, CARDINAL, 329
Tony Holohan, PERSON, 324
Covid, PERSON, 321
Simon Harris, PERSON, 320
One, CARDINAL, 318
Chinese, NORP, 317
next week, DATE, 302
England, GPE, 301
The Irish Sun, WORK_OF_ART, 288
ICU, ORG, 282
this week, DATE, 273
March, DATE, 273
Germany, GPE, 273
HSE, ORG, 272
this year, DATE, 268
six, CARDINAL, 266
the Department of Health, ORG, 262
Brits, NORP, 261
Sunday, DATE, 259
Leo Varadkar, PERSON, 259
Three, CARDINAL, 254
Friday, DATE, 253
last week, DATE, 248
European, NORP, 242
evening, TIME, 239
last night, TIME, 238
New York, GPE, 235
10, CARDINAL, 233
The Department of Health, ORG, 229
two weeks, DATE, 225
tonight, TIME, 222
thousands, CARDINAL, 221
Premier League, ORG, 219
Saturday, DATE, 218
Australia, GPE, 215
third, ORDINAL, 212
3, CARDINAL, 208
Cabinet, ORG, 207
Today, DATE, 203
14-day, DATE, 202
Tuesday, DATE, 201
Italian, NORP, 197
100,000, CARDINAL, 196
First, ORDINAL, 193
Brexit, PERSON, 189
Trump, PERSON, 187
ITV, ORG, 186
Five, CARDINAL, 182
months, DATE, 178
2021, DATE, 176
Coronavirus, ORG, 173
Wednesday, DATE, 172
Covid, NORP, 172
Six, CARDINAL, 170
tomorrow, DATE, 166
24 hours, TIME, 165
Reuters, ORG, 162
Taoiseach, PERSON, 160
weeks, DATE, 159
Thursday, DATE, 158
each evening, TIME, 157
French, NORP, 156
RTE, ORG, 151
April, DATE, 151
PPE, ORG, 149
Four, CARDINAL, 148
Trump, ORG, 146
1,000, CARDINAL, 143
Spanish, NORP, 143
September, DATE, 142
WHO, ORG, 141
Health, ORG, 139
German, NORP, 138
12, CARDINAL, 138
20, CARDINAL, 137
Taoiseach, ORG, 137
NPHET, ORG, 137
eight, CARDINAL, 135
13, CARDINAL, 135
New Zealand, GPE, 135
Laois, GPE, 134
Garda, PERSON, 134
seven, CARDINAL, 133
The Irish Times, ORG, 133
Paul Reid, PERSON, 133
hundreds, CARDINAL, 131
11, CARDINAL, 130
Americans, NORP, 129
zero, CARDINAL, 129
summer, DATE, 125
Taoiseach Leo Varadkar, PERSON, 124
India, GPE, 123
14, CARDINAL, 123
IRELAND, PERSON, 123
Johnson, PERSON, 122
North, LOC, 117
Pfizer, PERSON, 116
August, DATE, 115
Thousands, CARDINAL, 115
15, CARDINAL, 115
Brazil, GPE, 114
year, DATE, 114
Offaly, GPE, 114
Florida, GPE, 114
17, CARDINAL, 114
this morning, TIME, 113
Explainer, PERSON, 113
100, CARDINAL, 112
White House, ORG, 111
Varadkar, ORG, 110
May, DATE, 110
Belfast, GPE, 110
18, CARDINAL, 109
BBC, ORG, 109
nine, CARDINAL, 109
Sweden, GPE, 108
Coronation Street’s, ORG, 108
Kildare, ORG, 105
COVID-19, PERSON, 105
millions, CARDINAL, 105
CMO, ORG, 105
TheJournal.ie - Breaking Irish and International News, WORK_OF_ART, 104
Japan, GPE, 104
16, CARDINAL, 104
last month, DATE, 103
Harris, PERSON, 103
Ryan Tubridy, PERSON, 103
July, DATE, 102
a week, DATE, 101
June, DATE, 100
the Republic of Ireland, GPE, 100
South Korea, GPE, 99
Ronan Glynn, PERSON, 99
Joe Biden, PERSON, 99
Paris, GPE, 99
Russia, GPE, 98
NHS, ORG, 98
DIY, ORG, 97
this weekend, DATE, 96
30, CARDINAL, 96
next year, DATE, 96
weekly, DATE, 94
Biden, PERSON, 94
4, CARDINAL, 94
Lockdown, ORG, 93
the weekend, DATE, 93
Dublin, PERSON, 93
Kerry, PERSON, 92
annual, DATE, 91
Hundreds, CARDINAL, 89
Donegal, GPE, 89
CORONAVIRUS, ORG, 89
next month, DATE, 88
25, CARDINAL, 88
American, NORP, 88
ten, CARDINAL, 88
January, DATE, 86
this afternoon, TIME, 86
America, GPE, 86
Dublin Airport, FAC, 85
winter, DATE, 85
Gardaí, PERSON, 85
the United States, GPE, 85
three months, DATE, 85
Oireachtas, ORG, 84
Instagram, ORG, 83
24, CARDINAL, 83
days, DATE, 83
200, CARDINAL, 82
Amazon, ORG, 82
Aer Lingus, ORG, 81
last year, DATE, 81
Cork, GPE, 80
21, CARDINAL, 80
19, CARDINAL, 80
23, CARDINAL, 80
half, CARDINAL, 79
Beijing, GPE, 79
six weeks, DATE, 77
Limerick, GPE, 77
Nine, CARDINAL, 77
The Irish Sun CORONAVIRUS, ORG, 77
Stephen Donnelly, PERSON, 77
Mary Lou McDonald, PERSON, 77
the past 24 hours, TIME, 76
Piers Morgan, PERSON, 75
2, CARDINAL, 75
December, DATE, 75
years, DATE, 75
Seven, CARDINAL, 74
Scotland, GPE, 74
Yasmeen, ORG, 74
week, DATE, 73
Kate Garraway, PERSON, 73
Republic, GPE, 73
six months, DATE, 73
Geoff, ORG, 73
50, CARDINAL, 72
Wales, GPE, 72
The Irish Sun CORONATION Street, ORG, 71
hours, TIME, 71
Melbourne, GPE, 71
22, CARDINAL, 70
Galway, GPE, 70
1, CARDINAL, 70
night, TIME, 70
Geoff Metcalfe, PERSON, 69
Eight, CARDINAL, 69
October, DATE, 69
TWO, CARDINAL, 69
California, GPE, 69
the last 24 hours, TIME, 67
Coronation Street's, FAC, 67
Australian, NORP, 67
McDonald’s, ORG, 67
Department of Health, ORG, 66
TikTok, ORG, 66
Micheál Martin, PERSON, 65
two-week, DATE, 65
morning, TIME, 65
36, CARDINAL, 64
Liverpool, GPE, 64
the National Public Health Emergency Team, ORG, 64
Texas, GPE, 64
Level, ORG, 64
The Irish Sun A, ORG, 64
three weeks, DATE, 63
Irish Mirror Online, ORG, 63
Second, ORDINAL, 62
14 days, DATE, 62
UN, ORG, 62
Kildare, GPE, 62
the last week, DATE, 61
Irishman, NORP, 61
10,000, CARDINAL, 61
350, MONEY, 61
Hong Kong, GPE, 61
St Patrick's, PERSON, 60
500, CARDINAL, 60
Juventus, ORG, 60
Coronavirus Ireland, GPE, 60
PUP, PRODUCT, 60
Covid, ORG, 60
Portugal, GPE, 59
November, DATE, 59
Munster, PERSON, 59
Derek Draper, PERSON, 58
fourth, ORDINAL, 58
NI, ORG, 58
Ten, CARDINAL, 58
Oxford, ORG, 57
Anthony Fauci, PERSON, 57
Barcelona, GPE, 57
Peru, GPE, 57
Madrid, GPE, 57
one day, DATE, 57
recent weeks, DATE, 57
Love Island, LOC, 56
Olympics, EVENT, 55
this summer, DATE, 55
Philip Nolan, PERSON, 55
Galway, ORG, 55
Gardai, NORP, 55
Matt Hancock, PERSON, 54
Sun IRELAND, PERSON, 53
26, CARDINAL, 53
IRFU, ORG, 53
St Patrick’s Day, PERSON, 53
Greece, GPE, 53
a year, DATE, 52
Twitter, PRODUCT, 52
40, CARDINAL, 52
the coming weeks, DATE, 52
Russian, NORP, 52
Denmark, GPE, 51
the World Health Organisation, ORG, 51
the year, DATE, 51
Dominic Cummings, ORG, 51
NI, GPE, 51
Zoom, PERSON, 50
YouTube, ORG, 50
Halloween, DATE, 50
Simon Coveney, PERSON, 49
Waterford, ORG, 49
Hollywood, GPE, 48
Sam McConkey, PERSON, 48
the past week, DATE, 48
Berlin, GPE, 48
THREE, CARDINAL, 48
UFC, ORG, 48
a month, DATE, 47
recent days, DATE, 47
Iran, GPE, 47
English, LANGUAGE, 47
28, CARDINAL, 46
6, CARDINAL, 46
DUBLIN, ORG, 46
the day, DATE, 46
dozens, CARDINAL, 46
House, ORG, 46
2,000, CARDINAL, 46
Ryanair, PERSON, 45
Michael D Higgins, PERSON, 45
WhatsApp, ORG, 45
Arlene Foster, PERSON, 45
9, CARDINAL, 45
South Africa, GPE, 45
two months, DATE, 45
Cheltenham, PERSON, 45
Mayo, ORG, 44
35, DATE, 44
34, CARDINAL, 44
10 days, DATE, 44
ONE, CARDINAL, 43
39, DATE, 43
Leaving Cert, PERSON, 43
Ireland Health, GPE, 43
Belgium, GPE, 43
the Health Protection Surveillance Centre, ORG, 43
The Irish Sun CORONATION Street’s, ORG, 43
Democratic, NORP, 43
20,000, CARDINAL, 42
Lucy Fallon, PERSON, 42
Dutch, NORP, 42
29, CARDINAL, 42
Central Bank, ORG, 42
Trump’s, ORG, 42
60, CARDINAL, 42
six-week, DATE, 41
Cristiano Ronaldo, PERSON, 41
Yesterday, DATE, 41
70, CARDINAL, 41
Gardai, PERSON, 41
Easter, ORG, 41
Boris Johnson’s, PERSON, 41
SECOND, ORDINAL, 41
Paschal Donohoe, PERSON, 41
41, CARDINAL, 41
Stephen Kenny, PERSON, 40
The National Public Health Emergency Team, ORG, 40
200,000, CARDINAL, 40
Govt, ORG, 40
this month, DATE, 40
Drew Harris, PERSON, 40
Tokyo, GPE, 40
Slovakia, ORG, 40
Sinn Féin, PERSON, 40
50,000, CARDINAL, 40
The Irish Sun IRISH, ORG, 40
Thailand, GPE, 40
Sun IRELAND’S, PERSON, 40
2019, DATE, 40
midnight, TIME, 40
31, CARDINAL, 40
Level 5, FAC, 39
47, DATE, 39
35, CARDINAL, 39
Asian, NORP, 39
This week, DATE, 39
covid-19, PERSON, 39
the summer, DATE, 39
a day, DATE, 39
Matt Damon, PERSON, 39
AIB, ORG, 39
Victoria, GPE, 39
Gemma Collins, PERSON, 39
weekend, DATE, 39
Africa, LOC, 39
Mexico, GPE, 39
the Premier League, ORG, 39
ESRI, ORG, 39
the World Health Organization, ORG, 39
LA, GPE, 39
two years, DATE, 39
UEFA, GPE, 39
season, DATE, 38
two days, DATE, 38
Chelsea, ORG, 38
Easter, PERSON, 38
Martin, PERSON, 38
the Irish Sun, ORG, 38
Sun, ORG, 38
Dr Ronan Glynn, PERSON, 38
Coronation Street's, ORG, 38
Sally, PERSON, 38
SPAIN, GPE, 38
Canada, GPE, 38
Holly Willoughby, PERSON, 37
Singapore, GPE, 37
Kilkenny, PERSON, 37
The World Health Organization, ORG, 37
COVID-19, PRODUCT, 37
afternoon, TIME, 37
Meath, ORG, 37
FOUR, CARDINAL, 37
37, CARDINAL, 37
Northern Ireland’s, GPE, 36
Enda O'Dowd, PERSON, 36
Mike Ryan, PERSON, 36
Croke Park, LOC, 36
8, CARDINAL, 36
Last week, DATE, 36
fifth, ORDINAL, 36
the White House, ORG, 36
this Christmas, DATE, 36
27, CARDINAL, 36
Claire Byrne, PERSON, 36
BRITAIN, GPE, 36
February, DATE, 36
38, CARDINAL, 36
overnight, TIME, 36
Tom Hanks, PERSON, 35
Japanese, NORP, 35
Donald Trump’s, PERSON, 35
WWE, ORG, 35
32, DATE, 35
Government, ORG, 35
Varadkar, PERSON, 35
45, CARDINAL, 35
Swedish, NORP, 35
one million, CARDINAL, 35
Colson Smith, PERSON, 35
World Health Organisation, ORG, 35
27, DATE, 35
New York City, GPE, 35
Micheal Martin, PERSON, 35
Tesco, ORG, 35
up to, CARDINAL, 34
The Irish Sun CHINA, ORG, 34
46, CARDINAL, 34
20%, PERCENT, 34
Martin, ORG, 34
Fair City, GPE, 34
90%, PERCENT, 34
Champions League, ORG, 34
Holohan, ORG, 34
Moderna, GPE, 34
5,000, CARDINAL, 34
Late Late Show, WORK_OF_ART, 34
85, CARDINAL, 33
Netflix, GPE, 33
four weeks, DATE, 33
39, CARDINAL, 33
&, ORG, 33
53, CARDINAL, 33
Derek, PERSON, 33
one week, DATE, 33
Mike Pence, PERSON, 33
8211, DATE, 33
Tottenham, PERSON, 33
Scottish, NORP, 33
CORONATION Street’s, ORG, 33
Phil Hogan, PERSON, 33
MUM, ORG, 33
100k, CARDINAL, 33
Democrats, NORP, 32
Grafton Street, FAC, 32
seven days, DATE, 32
30, DATE, 32
Vaccine, PERSON, 32
Brussels, GPE, 32
Kim Jong-un, PERSON, 32
Sydney, GPE, 32
Sinn Fein, ORG, 32
Andrew Cuomo, PERSON, 32
38, DATE, 32
the coming days, DATE, 32
24-hour, TIME, 32
a single day, DATE, 32
Coveney, PERSON, 32
15,000, CARDINAL, 32
92, CARDINAL, 32
150, CARDINAL, 32
400, CARDINAL, 32
June 29, DATE, 31
Brazilian, NORP, 31
Kawasaki, GPE, 31
Jacinda Ardern, PERSON, 31
Harry, PERSON, 31
CSO, ORG, 31
Cuomo, PERSON, 31
80, CARDINAL, 31
7, CARDINAL, 31
32, CARDINAL, 31
45, DATE, 31
Michelle Keegan, PERSON, 31
three days, DATE, 31
Corona, GPE, 30
Stacey, PERSON, 30
Geoff, NORP, 30
29, DATE, 30
Joe Wicks, PERSON, 30
CHINESE, NORP, 30
55, DATE, 30
Half, CARDINAL, 30
39-year-old, DATE, 30
five days, DATE, 30
High Court, ORG, 30
UCD, ORG, 30
Ireland The Department of Health, ORG, 30
600, CARDINAL, 30
100, MONEY, 30
249, CARDINAL, 30
300, CARDINAL, 30
31, DATE, 30
Oliver, PERSON, 30
Derry, PERSON, 29
Rita Wilson, PERSON, 29
28, DATE, 29
Irish Times, ORG, 29
Washington, GPE, 29
just days, DATE, 29
24, DATE, 29
Higgins, PERSON, 29
Healthcare, ORG, 29
A&E, ORG, 29
51, DATE, 29
Third, ORDINAL, 29
Limerick, ORG, 29
Kate Middleton, PERSON, 29
Katie McGlynn, PERSON, 29
CNN, ORG, 29
54, CARDINAL, 29
33, DATE, 29
GMB, ORG, 29
Gary, PERSON, 29
Michael, PERSON, 29
Glynn, PERSON, 29
the coming months, DATE, 28
Kathryn Thomas, PERSON, 28
Northern Ireland's, GPE, 28
76, CARDINAL, 28
Leyen, GPE, 28
25%, PERCENT, 28
Paschal Donohoe, ORG, 28
Los Angeles, GPE, 28
Chelsea, PERSON, 28
Kim Kardashian, PERSON, 28
Tim, PERSON, 28
Israel, GPE, 28
Bohemians, NORP, 28
77, CARDINAL, 28
Eamon Ryan, PERSON, 28
54, DATE, 27
non-Covid, NORP, 27
Tanaiste, GPE, 27
Apple, ORG, 27
Direct Provision, ORG, 27
NBA, ORG, 27
just hours, TIME, 27
Covid - Independent.ie, PERSON, 27
40, DATE, 27
44, CARDINAL, 27
36, DATE, 27
49, DATE, 27
earlier this year, DATE, 27
Katie Price, PERSON, 27
37, DATE, 27
Netherlands, GPE, 27
2008, DATE, 27
FIFA, ORG, 27
sixth, ORDINAL, 27
May 5, DATE, 27
The Irish Sun PIERS Morgan, ORG, 27
FIVE, CARDINAL, 27
43, CARDINAL, 27
53, DATE, 27
the Health Service Executive, ORG, 27
Susanna Reid, PERSON, 27
earlier today, TIME, 27
Oxford University, ORG, 26
Fauci, PERSON, 26
earlier this week, DATE, 26
#, CARDINAL, 26
456, CARDINAL, 26
Italians, NORP, 26
Manchester City, GPE, 26
Peter Andre, PERSON, 26
15%, PERCENT, 26
the end of the month, DATE, 26
autumn, DATE, 26
Una Healy, PERSON, 26
Donohoe, PERSON, 26
Man City, GPE, 26
3,000, CARDINAL, 26
Róisín Ingle, PERSON, 26
