entity, label, count
UK, GPE, 3992
EU, ORG, 2484
first, ORDINAL, 1256
AstraZeneca, ORG, 1078
Britain, GPE, 894
Oxford, ORG, 811
Covid, NORP, 792
Boris Johnson, PERSON, 750
Scotland, GPE, 480
Guardian, ORG, 449
Pfizer, PERSON, 443
Matt Hancock, PERSON, 436
today, DATE, 432
second, ORDINAL, 427
US, GPE, 402
Brussels, GPE, 372
Europe, LOC, 366
Vaccine, PERSON, 354
England, GPE, 352
Covid, PERSON, 351
Brits, NORP, 337
ITV News, ORG, 296
Brexit, PERSON, 294
one, CARDINAL, 282
France, GPE, 279
Germany, GPE, 268
COVID-19, PERSON, 258
Daily Mail, ORG, 253
British, NORP, 248
NHS, ORG, 228
London, GPE, 219
Sky News, WORK_OF_ART, 206
Ireland, GPE, 203
two, CARDINAL, 195
Leyen, GPE, 188
European, NORP, 185
South African, NORP, 183
German, NORP, 182
third, ORDINAL, 181
Wales, GPE, 177
French, NORP, 177
Israel, GPE, 171
yesterday, DATE, 155
millions, CARDINAL, 148
Monday, DATE, 146
India, GPE, 141
Emmanuel Macron, PERSON, 131
Italy, GPE, 131
four, CARDINAL, 125
the European Union, ORG, 125
Russia, GPE, 124
Spain, GPE, 119
Moderna, GPE, 116
Northern Ireland, GPE, 110
Macron, PERSON, 108
South Africa, GPE, 104
Nicola Sturgeon, ORG, 104
this week, DATE, 103
Nadhim Zahawi, PERSON, 103
Times, ORG, 103
Health, ORG, 102
MEP, ORG, 100
Covid vaccine, PERSON, 99
COVID-19, PRODUCT, 99
Biden, PERSON, 96
Angela Merkel, PERSON, 95
Sunday, DATE, 95
summer, DATE, 93
CORONAVIRUS, ORG, 92
daily, DATE, 92
Britons, PERSON, 90
BBC News, ORG, 90
China, GPE, 90
Boris, PERSON, 90
Covid, ORG, 89
Brazil, GPE, 88
three, CARDINAL, 87
First, ORDINAL, 82
BBC, ORG, 81
Friday, DATE, 77
Scottish, NORP, 77
Sky News, ORG, 77
Joe Biden, PERSON, 76
BRITAIN, GPE, 76
this summer, DATE, 75
next week, DATE, 75
weeks, DATE, 74
BORIS JOHNSON, PERSON, 73
Australia, GPE, 70
May, DATE, 69
March, DATE, 69
Johnson, PERSON, 69
Moderna, PERSON, 66
2021, DATE, 63
BORIS Johnson, PERSON, 63
last week, DATE, 63
April, DATE, 62
Greece, GPE, 62
Oxford University, ORG, 62
10, CARDINAL, 62
Wednesday, DATE, 60
One, CARDINAL, 59
Tuesday, DATE, 58
five, CARDINAL, 57
The Sunday Times, ORG, 57
Thursday, DATE, 56
mid-February, DATE, 56
Ursula von, PERSON, 56
Saturday, DATE, 56
15 million, CARDINAL, 55
last night, TIME, 55
Johnson & Johnson, ORG, 54
SNP, ORG, 54
September, DATE, 53
a week, DATE, 52
100, CARDINAL, 52
seven, CARDINAL, 51
Jonathan Van-Tam, PERSON, 51
Americans, NORP, 50
the European Commission, ORG, 49
Oxford-AstraZeneca, ORG, 49
six, CARDINAL, 49
this year, DATE, 48
thousands, CARDINAL, 48
Brazilian, NORP, 47
half, CARDINAL, 46
Chris Whitty, PERSON, 45
Boris Johnson's, PERSON, 45
this morning, TIME, 44
July, DATE, 44
Downing Street, FAC, 44
Irish, NORP, 44
months, DATE, 44
50s, DATE, 43
Italian, NORP, 43
Piers Morgan, PERSON, 43
Michael Gove, PERSON, 43
European Union, ORG, 41
morning, TIME, 41
EU, GPE, 41
No10, ORG, 40
VDL, ORG, 40
Russian, NORP, 40
tonight, TIME, 39
Israeli, NORP, 38
Two, CARDINAL, 38
15, CARDINAL, 38
BRUSSELS, ORG, 37
February, DATE, 37
next month, DATE, 36
tomorrow, DATE, 36
Government, ORG, 35
24/7, CARDINAL, 35
Tony Blair, PERSON, 35
Denmark, GPE, 34
August, DATE, 34
autumn, DATE, 34
THE European Union, ORG, 34
WHO, ORG, 34
at least one, CARDINAL, 34
Keir Starmer, PERSON, 34
AstraZeneca Covid, ORG, 34
Canada, GPE, 33
Tories, NORP, 33
Sputnik, ORG, 33
nine, CARDINAL, 33
days, DATE, 33
Prince Charles, PERSON, 33
| Travel, ORG, 33
the European Union's, ORG, 32
January, DATE, 32
Oxford Covid, ORG, 32
Norway, GPE, 31
Paris, GPE, 31
4, CARDINAL, 31
FRANCE, GPE, 31
Novavax, PERSON, 31
EMA, ORG, 30
2020, DATE, 30
GMB, ORG, 30
Germans, NORP, 30
Army, ORG, 29
European Commission, ORG, 29
Boris Johnson’s, PERSON, 29
Dominic Raab, PERSON, 29
Von der Leyen, ORG, 29
Ursula, GPE, 29
70s, DATE, 28
12 weeks, DATE, 28
JCVI, ORG, 28
GERMANY, GPE, 28
Easter, ORG, 28
Dutch, NORP, 28
Britons, ORG, 27
Portugal, GPE, 27
65, DATE, 27
Chinese, NORP, 27
Sun, ORG, 27
Hungary, GPE, 26
12-week, DATE, 26
Netherlands, GPE, 26
Asian, NORP, 26
Spanish, NORP, 26
5, CARDINAL, 26
hundreds, CARDINAL, 26
80s, DATE, 26
last month, DATE, 25
80, DATE, 25
California, GPE, 25
Ursula von, NORP, 25
fourth, ORDINAL, 25
| TV & Radio, ORG, 25
ITV, ORG, 25
Prince William, PERSON, 25
Article 16, LAW, 25
1,000, CARDINAL, 25
Belgium, GPE, 25
30, CARDINAL, 24
Mark Drakeford, PERSON, 24
three weeks, DATE, 24
Liverpool, GPE, 24
ANGELA MERKEL, PERSON, 24
Jeane Freeman, PERSON, 24
Jabs Army, ORG, 24
70, DATE, 23
NHS England, ORG, 23
2, CARDINAL, 23
100,000, CARDINAL, 23
February 15, DATE, 23
Oxford AstraZeneca, ORG, 23
last year, DATE, 23
24-hour, TIME, 23
ten, CARDINAL, 23
summer holidays, DATE, 23
a month, DATE, 23
Hundreds, CARDINAL, 22
the European Medicines Agency, ORG, 22
Patrick Vallance, PERSON, 22
Queen, PERSON, 22
Cambridge, GPE, 22
Philip, PERSON, 22
Thousands, CARDINAL, 22
Jo Whiley, PERSON, 22
1, CARDINAL, 22
FDA, ORG, 22
Camilla, ORG, 22
80%, PERCENT, 22
100%, PERCENT, 22
the weekend, DATE, 21
50, DATE, 21
Hancock, PERSON, 21
Katya Adler, PERSON, 21
hours, TIME, 21
years, DATE, 21
Prince Philip, PERSON, 21
Palestinians, NORP, 21
Half, CARDINAL, 21
Florida, GPE, 21
a year, DATE, 20
Austria, GPE, 20
two million, CARDINAL, 20
week, DATE, 20
American, NORP, 20
Daily Mail Online, ORG, 20
60 million, CARDINAL, 20
Simon Stevens, PERSON, 20
Nicola Sturgeon, PERSON, 20
VON, ORG, 20
LEYEN, GPE, 20
Sturgeon, ORG, 20
Lockdown, ORG, 20
Boris Johnson ', PERSON, 19
30 million, CARDINAL, 19
20, CARDINAL, 19
Indian, NORP, 19
Birmingham, GPE, 19
English, LANGUAGE, 19
one day, DATE, 19
Charles Michel, PERSON, 19
The Sun’s Jabs Army, ORG, 19
Four, CARDINAL, 18
Donald Trump, PERSON, 18
Kate Garraway, PERSON, 18
CDC, ORG, 18
Millions, CARDINAL, 18
Lauren Goodger, PERSON, 18
Pfizer Covid, PERSON, 18
the end of July, DATE, 18
Valneva, PERSON, 18
Merkel, PERSON, 18
Harry, PERSON, 17
weekly, DATE, 17
Africa, LOC, 17
the end of March, DATE, 17
Putin, PERSON, 17
80, CARDINAL, 17
Mexico, GPE, 17
Downing Street, ORG, 17
Wrexham, GPE, 17
90%, PERCENT, 17
50,000, CARDINAL, 17
eight, CARDINAL, 17
Susanna Reid, PERSON, 17
Turkey, GPE, 17
June, DATE, 17
Vladimir Putin, PERSON, 17
50, CARDINAL, 17
the summer, DATE, 17
Jason Leitch, PERSON, 17
50%, PERCENT, 17
Second, ORDINAL, 16
Pimlico Plumbers, ORG, 16
10 million, CARDINAL, 16
Good Morning Britain, LOC, 16
UN, ORG, 16
160, MONEY, 16
Tory, NORP, 16
hundreds of thousands, CARDINAL, 16
two-thirds, CARDINAL, 16
60, CARDINAL, 16
this weekend, DATE, 16
12, CARDINAL, 16
Robert Jenrick, PERSON, 16
the World Health Organisation, ORG, 16
this month, DATE, 16
Five, CARDINAL, 16
five million, CARDINAL, 16
Three, CARDINAL, 16
The European Union, ORG, 16
Liz Truss, PERSON, 16
3, CARDINAL, 16
more than half, CARDINAL, 16
Healthcare, ORG, 16
Europeans, NORP, 16
March 8, DATE, 15
Moscow, GPE, 15
SIR &, ORG, 15
65s, DATE, 15
winter, DATE, 15
Angela Merkel's, PERSON, 15
John Bell, PERSON, 15
Asda, ORG, 15
Moderna Covid, PERSON, 15
one million, CARDINAL, 15
Ursula von, ORG, 15
250,000, CARDINAL, 15
53, DATE, 15
Twitter, PRODUCT, 15
Third, ORDINAL, 15
94%, PERCENT, 15
December, DATE, 15
Japan, GPE, 15
Andrew Neil, PERSON, 15
Guardian Health, ORG, 14
Elton John, PERSON, 14
Public Health England, ORG, 14
200, CARDINAL, 14
William, PERSON, 14
THE EUROPEAN UNION's, ORG, 14
Emmanuel Macron's, PERSON, 14
WhatsApp, ORG, 14
60, DATE, 14
27, CARDINAL, 14
North Korea, GPE, 14
Sarah Gilbert, PERSON, 14
annual, DATE, 14
Tom Moore, PERSON, 14
Valneva, GPE, 14
the coming days, DATE, 14
Ursula von der Leyen, ORG, 14
Cabinet, ORG, 14
56, DATE, 14
THE European Union's, ORG, 14
FTSE, ORG, 14
the coming weeks, DATE, 14
Sweden, GPE, 14
Kate, PERSON, 14
tens of millions, MONEY, 14
three months, DATE, 14
Australian, NORP, 14
Michael Caine, PERSON, 13
300, CARDINAL, 13
Easter, PERSON, 13
| Metro Video, ORG, 13
100 million, CARDINAL, 13
GSK, ORG, 13
two days, DATE, 13
America, GPE, 13
Sky News Coronavirus, ORG, 13
the week, DATE, 13
Robert Peston, PERSON, 13
two months, DATE, 13
Christmas, DATE, 13
Anthony Harnden, PERSON, 13
Sky News Health, ORG, 13
13, CARDINAL, 13
40s, DATE, 13
tens of thousands, CARDINAL, 13
Brian Pinker, PERSON, 13
Macron, ORG, 13
July 31, DATE, 12
SPAIN, GPE, 12
Hilary Jones, PERSON, 12
400,000, CARDINAL, 12
David Attenborough, PERSON, 12
Cornwall, GPE, 12
Adam Finn, PERSON, 12
The European Commission, ORG, 12
Hollywood, GPE, 12
73, DATE, 12
Johnson & Johnson's, ORG, 12
BBC Breakfast, ORG, 12
Berlin, GPE, 12
92-year-old, DATE, 12
100 days, DATE, 12
Beijing, GPE, 12
later this year, DATE, 12
Science & Tech News, ORG, 12
year, DATE, 12
Rishi Sunak, ORG, 12
Bristol, GPE, 12
18, CARDINAL, 12
| Daily Mail, ORG, 12
Pakistan, GPE, 12
New York, GPE, 12
EU Covid, ORG, 12
Sinopharm, ORG, 12
ANDREW NEIL, PERSON, 12
Astrazeneca, NORP, 12
Vaughan Gething, PERSON, 12
78, DATE, 11
Phil Prosser, PERSON, 11
evening, TIME, 11
| Travel News, ORG, 11
next year, DATE, 11
Charlie Mullins, PERSON, 11
Brexit Britain, GPE, 11
ONS, ORG, 11
CureVac, ORG, 11
Greek, NORP, 11
Thailand, GPE, 11
55, DATE, 11
PM, PERSON, 11
Covid vaccine ', PERSON, 11
Belgian, NORP, 11
Lorraine Kelly, PERSON, 11
17, CARDINAL, 11
the Scottish Government, ORG, 11
the Joint Committee on Vaccination and Immunisation (JCVI, ORG, 11
the year, DATE, 11
32, CARDINAL, 11
four weeks, DATE, 11
Today, DATE, 11
NI, ORG, 11
500,000, CARDINAL, 11
Newcastle, GPE, 11
Patel, PERSON, 11
two weeks, DATE, 11
Frexit, ORG, 11
Sundays, DATE, 11
70, CARDINAL, 11
Dublin, GPE, 11
this afternoon, TIME, 11
covid-19, PERSON, 11
October, DATE, 11
Katie Price, PERSON, 11
Lenny Henry, PERSON, 11
Guy Verhofstadt, ORG, 11
BBC Newsnight, ORG, 11
Arnold Schwarzenegger, PERSON, 11
PPE, ORG, 11
16, CARDINAL, 11
North Wales, GPE, 11
82, DATE, 11
Kate Bingham, PERSON, 11
Trump, PERSON, 11
Andrew Pollard, PERSON, 11
Rishi Sunak, PERSON, 10
20 million, CARDINAL, 10
94, DATE, 10
2022, DATE, 10
more than 15 million, CARDINAL, 10
the Office for National Statistics, ORG, 10
' - Mirror Online, ORG, 10
Surrey, PERSON, 10
African, NORP, 10
ANGELA Merkel, PERSON, 10
Scottish Government, ORG, 10
England, PERSON, 10
23, CARDINAL, 10
Sadiq Khan, PERSON, 10
Arlene Foster, PERSON, 10
Mike Tildesley, PERSON, 10
the United States, GPE, 10
Daily Star, WORK_OF_ART, 10
25 million, CARDINAL, 10
28 days, DATE, 10
39, DATE, 10
a day, DATE, 10
J&J, ORG, 10
afternoon, TIME, 10
PHE, ORG, 10
5pm, TIME, 10
Oliver Dowden, PERSON, 10
UAE, GPE, 10
75, DATE, 10
THE EUROPEAN UNION, ORG, 10
Premier League, ORG, 10
the end of January, DATE, 10
the middle of February, DATE, 10
Commission, ORG, 10
100 percent, PERCENT, 10
Yesterday, DATE, 10
Yorkshire, PERSON, 10
Sun's Jabs Army, ORG, 10
four days, DATE, 10
Six, CARDINAL, 10
three days, DATE, 10
Telegraph, ORG, 10
Seven, CARDINAL, 10
Fauci, ORG, 10
Kwasi Kwarteng, PERSON, 10
Covid vaccine |, PERSON, 10
Anthony Fauci, PERSON, 10
Francis, PERSON, 10
David Davis, PERSON, 10
OXFORD, ORG, 10
Bill Gates, PERSON, 10
Michel Barnier, PERSON, 10
Grant Shapps, PERSON, 10
Meghan, PERSON, 9
Tom Jones, PERSON, 9
the coming months, DATE, 9
World Health Organisation, ORG, 9
Pascal Soriot, PERSON, 9
the European Commission's, ORG, 9
Joan Collins, PERSON, 9
GlaxoSmithKline, PERSON, 9
GBP, ORG, 9
Remainers, ORG, 9
May 17, DATE, 9
Scots, ORG, 9
TWO, CARDINAL, 9
Covid vaccines, PERSON, 9
Bank of England, ORG, 9
67%, PERCENT, 9
WTO, ORG, 9
this evening, TIME, 9
Brexiteer, PRODUCT, 9
West, LOC, 9
Sky News A, WORK_OF_ART, 9
Nigel Farage, PERSON, 9
Jean-Claude Juncker, PERSON, 9
47, DATE, 9
Adonis, NORP, 9
European Medicines Agency, ORG, 9
Micheál Martin, PERSON, 9
89%, PERCENT, 9
White House, ORG, 9
Two million, CARDINAL, 9
More than 20 million, CARDINAL, 9
Hugh Bonneville, PERSON, 9
Phillip Schofield, PERSON, 9
Morning, TIME, 9
IRELAND, PERSON, 9
The Scottish Government, WORK_OF_ART, 9
AstraZeneca’s, ORG, 9
Israelis, NORP, 9
recent months, DATE, 9
2,000, CARDINAL, 9
recent weeks, DATE, 9
Imperial College, ORG, 9
The Scotsman Nicola Sturgeon, ORG, 9
MILLIONS, CARDINAL, 9
Buckingham Palace, FAC, 9
Nick Ferrari, PERSON, 9
87, DATE, 9
A&E, ORG, 9
33, CARDINAL, 9
Fauci, PERSON, 9
600,000, CARDINAL, 9
50 million, CARDINAL, 9
European Council, ORG, 9
Kamala Harris, PERSON, 8
Dubai, GPE, 8
Trump, ORG, 8
fifth, ORDINAL, 8
Tokyo, GPE, 8
Iceland, GPE, 8
three-month, DATE, 8
300 million, CARDINAL, 8
Rome, GPE, 8
Washington, GPE, 8
the end of April, DATE, 8
Ben Shephard, PERSON, 8
Starmer, ORG, 8
| Daily Mail Online, ORG, 8
Wockhardt, GPE, 8
Valneva, ORG, 8
40, CARDINAL, 8
45, DATE, 8
the London Evening Standard, LOC, 8
Sputnik, PERSON, 8
Covid, GPE, 8
34, DATE, 8
