entity, label, count
Canada, GPE, 950
COVID-19, PRODUCT, 769
COVID-19, PERSON, 468
AstraZeneca, ORG, 339
The Globe and Mail, ORG, 337
first, ORDINAL, 297
U.S., GPE, 225
Canadians, NORP, 201
Pfizer, PERSON, 199
Toronto, GPE, 183
GlobalNews.ca, ORG, 143
Trudeau, PERSON, 136
Canadian, NORP, 129
Monday, DATE, 122
Alberta, GPE, 113
CBC News, ORG, 108
second, ORDINAL, 106
two, CARDINAL, 97
EU, ORG, 97
B.C., PERSON, 97
B.C., GPE, 90
today, DATE, 90
Friday, DATE, 89
Thursday, DATE, 85
one, CARDINAL, 83
Quebec, GPE, 79
Ontario, GPE, 78
Ottawa, GPE, 76
Moderna, GPE, 75
Justin Trudeau, PERSON, 74
U.K., GPE, 70
Tuesday, DATE, 69
Wednesday, DATE, 68
Health Canada, ORG, 68
this week, DATE, 64
China, GPE, 64
Oxford, ORG, 62
Britain, GPE, 56
Moderna, PERSON, 54
next week, DATE, 52
Vancouver Sun, PERSON, 51
Doug Ford, PERSON, 50
Vaccine, PERSON, 49
Manitoba, GPE, 49
Israel, GPE, 46
Johnson & Johnson, ORG, 46
Biden, PERSON, 45
third, ORDINAL, 45
| CTV News, ORG, 42
Europe, LOC, 41
India, GPE, 41
AstraZeneca COVID-19, PRODUCT, 40
three, CARDINAL, 40
2, CARDINAL, 38
First Nations, ORG, 36
Montreal, GPE, 36
European, NORP, 36
Saturday, DATE, 34
Yukon, ORG, 34
Sunday, DATE, 33
South Africa, GPE, 33
AstraZeneca’s, ORG, 31
2021, DATE, 31
British Columbia, GPE, 30
the United States, GPE, 30
at least one, CARDINAL, 29
Joe Biden, PERSON, 29
Toronto Sun, ORG, 28
March, DATE, 27
Bonnie Henry, PERSON, 26
last week, DATE, 26
Vancouver, GPE, 26
British, NORP, 25
Florida, GPE, 25
months, DATE, 24
Video Online, PERSON, 24
CBC Radio, ORG, 22
morning, TIME, 21
Brazil, GPE, 21
September, DATE, 21
WHO, ORG, 21
Oxford-AstraZeneca, ORG, 21
Ford, ORG, 21
Saskatchewan, NORP, 20
B.C., ORG, 20
5, CARDINAL, 20
Russia, GPE, 20
April, DATE, 20
Johnson & Johnson’s, ORG, 19
thousands, CARDINAL, 19
10, CARDINAL, 19
Saskatchewan, GPE, 19
NACI, ORG, 19
Moderna COVID-19, PERSON, 19
Tam, PERSON, 19
AstraZeneca, LAW, 18
Hamilton, PERSON, 18
London, GPE, 18
Chinese, NORP, 18
Today, DATE, 18
Albertans, NORP, 18
Anita Anand, PERSON, 18
January, DATE, 17
five, CARDINAL, 17
Ont, PERSON, 17
1st, ORDINAL, 16
Americans, NORP, 16
daily, DATE, 16
June, DATE, 16
six, CARDINAL, 16
| CTV News Canada, ORG, 16
2nd, ORDINAL, 16
this year, DATE, 15
the European Union, ORG, 15
65, DATE, 15
the coming weeks, DATE, 15
millions, CARDINAL, 15
Ontarians, NORP, 15
weeks, DATE, 15
Italy, GPE, 15
Christine Elliott, PERSON, 14
The Globe and Mail Health, ORG, 14
Norway, GPE, 14
December, DATE, 13
1, CARDINAL, 13
Globe, ORG, 13
80, CARDINAL, 13
summer, DATE, 13
Waterloo Region, GPE, 13
80, DATE, 13
1.5 million, CARDINAL, 13
Germany, GPE, 13
four, CARDINAL, 12
Johnson, PERSON, 12
under 55, DATE, 12
Calgary, GPE, 12
75, DATE, 12
2020, DATE, 12
four months, DATE, 12
Mexico, GPE, 12
Johnson & Johnson's, ORG, 12
The Globe and Mail Also, ORG, 12
German, NORP, 12
Liberals, NORP, 12
the end of March, DATE, 12
February, DATE, 11
next month, DATE, 11
First, ORDINAL, 11
CBC News Canada, ORG, 11
the end of June, DATE, 11
half, CARDINAL, 11
Sun Ontario, PERSON, 11
Africa, LOC, 11
American, NORP, 11
Two, CARDINAL, 11
Dany Fortin, PERSON, 11
8 p.m., TIME, 11
Boris Johnson, PERSON, 11
Ottawa, ORG, 10
Japan, GPE, 10
Health, ORG, 10
Ontario, PERSON, 10
18, CARDINAL, 10
J&J, ORG, 10
fourth, ORDINAL, 10
Ontario’s, ORG, 10
European Union, ORG, 10
White House, ORG, 10
UN, ORG, 10
Theresa Tam, PERSON, 10
South African, NORP, 10
20 million, CARDINAL, 10
Pfizer’s, ORG, 9
Donald Trump, PERSON, 9
Trudeau’s, ORG, 9
Denmark, GPE, 9
up to four months, DATE, 9
this summer, DATE, 9
Feds, NORP, 9
3rd, ORDINAL, 9
hundreds, CARDINAL, 9
CDC, ORG, 9
France, GPE, 9
The Globe and Mail Ontario, ORG, 9
York Region, GPE, 9
week, DATE, 9
Wisconsin, GPE, 9
3, CARDINAL, 9
Sun B.C., PERSON, 9
Jan. 21, DATE, 8
300,000, CARDINAL, 8
15, CARDINAL, 8
Kingston, GPE, 8
IOC, ORG, 8
One, CARDINAL, 8
recent weeks, DATE, 8
Conservatives, NORP, 8
20, CARDINAL, 8
the summer, DATE, 8
Trump, PERSON, 8
BioNTech, GPE, 8
65, CARDINAL, 8
the National Advisory Committee on Immunization, ORG, 8
days, DATE, 7
National Advisory Committee on Immunization, ORG, 7
Washington, GPE, 7
| Watch News, ORG, 7
Anthony Fauci, PERSON, 7
Vancouver Sun, ORG, 7
March 15, DATE, 7
LONDON, GPE, 7
Surrey, PERSON, 7
Star, ORG, 7
the age of 65, DATE, 7
Russian, NORP, 7
a year, DATE, 7
11, CARDINAL, 7
75, CARDINAL, 7
Regina, LOC, 7
CTV News, ORG, 7
CBC News Ontario, ORG, 7
Erin O’Toole, PERSON, 7
27, CARDINAL, 7
70, DATE, 7
winter, DATE, 7
AHS, ORG, 7
early April, DATE, 7
100, CARDINAL, 7
6, CARDINAL, 7
New Brunswick, PERSON, 7
a week, DATE, 7
Horgan, PERSON, 7
Inuit, NORP, 7
Ekaterina Baker, PERSON, 7
the United Kingdom, GPE, 7
24 hours, TIME, 7
17, CARDINAL, 7
8 p.m. Saturday, TIME, 7
70, CARDINAL, 7
Jason Kenney, PERSON, 7
SNL, ORG, 7
16, CARDINAL, 6
60, CARDINAL, 6
1st, DATE, 6
Israeli, NORP, 6
Fauci, ORG, 6
100 million, CARDINAL, 6
New Brunswick, GPE, 6
Phase, GPE, 6
4 million, CARDINAL, 6
500, CARDINAL, 6
100,000, CARDINAL, 6
the World Health Organization, ORG, 6
Olympics, EVENT, 6
Guelph, PERSON, 6
The Globe and Mail A, ORG, 6
