entity, label, count
Canada, GPE, 612
COVID-19, PRODUCT, 561
first, ORDINAL, 414
COVID-19, PERSON, 406
The Globe and Mail, ORG, 318
U.S., GPE, 305
Pfizer, PERSON, 207
Canadians, NORP, 187
Canadian, NORP, 162
Moderna, GPE, 123
GlobalNews.ca, ORG, 120
Trudeau, PERSON, 117
Toronto, GPE, 107
Monday, DATE, 106
China, GPE, 97
Health Canada, ORG, 88
Tuesday, DATE, 88
U.K., GPE, 86
Russia, GPE, 83
AstraZeneca, ORG, 80
two, CARDINAL, 77
Alberta, GPE, 74
Ottawa, GPE, 73
Moderna, PERSON, 73
CBC News, ORG, 72
Wednesday, DATE, 71
Britain, GPE, 67
one, CARDINAL, 59
Justin Trudeau, PERSON, 58
Chinese, NORP, 52
next week, DATE, 51
today, DATE, 51
Ontario, GPE, 50
second, ORDINAL, 50
Friday, DATE, 45
B.C., GPE, 44
First, ORDINAL, 42
Thursday, DATE, 41
millions, CARDINAL, 39
the United States, GPE, 39
2021, DATE, 39
Americans, NORP, 39
Quebec, GPE, 38
Manitoba, GPE, 37
Donald Trump, PERSON, 35
this week, DATE, 33
Saturday, DATE, 33
CBC Radio, ORG, 32
Vaccine, PERSON, 32
Today, DATE, 31
British, NORP, 30
FDA, ORG, 30
Vancouver Sun, PERSON, 30
Sunday, DATE, 30
Russian, NORP, 30
Biden, PERSON, 29
January, DATE, 27
EU, ORG, 25
four, CARDINAL, 25
Tam, PERSON, 24
Germany, GPE, 24
| CTV News, ORG, 24
months, DATE, 24
Trump, ORG, 23
B.C., PERSON, 23
Brazil, GPE, 23
1st, ORDINAL, 22
Bill Kelly, PERSON, 22
WHO, ORG, 22
Vancouver, GPE, 21
Europe, LOC, 21
early 2021, DATE, 21
this year, DATE, 21
Doug Ford, PERSON, 20
German, NORP, 19
Mexico, GPE, 19
Oxford, ORG, 18
3, CARDINAL, 18
daily, DATE, 18
US, GPE, 18
Pfizer’s, ORG, 18
Christmas, DATE, 18
next year, DATE, 18
Theresa Tam, PERSON, 18
Toronto Sun, ORG, 18
Rick Hillier, PERSON, 17
Bonnie Henry, PERSON, 17
three, CARDINAL, 17
Moderna’s, ORG, 17
Trump, PERSON, 16
Joe Biden, PERSON, 16
TSX, ORG, 16
Moderna COVID-19, PERSON, 15
Ottawa, ORG, 15
days, DATE, 15
Ford, ORG, 15
